Name,hydrophobicity,class
seq2242,-0.369,nonDRNA
seq2243,0.126,nonDRNA
seq2244,-0.172,nonDRNA
seq2245,-0.172,nonDRNA
seq2246,0.059,nonDRNA
seq2247,-0.683,nonDRNA
seq2248,0.206,nonDRNA
seq2249,-0.141,nonDRNA
seq2250,-0.13,nonDRNA
seq2251,-0.237,nonDRNA
seq2252,0.228,nonDRNA
seq2253,-0.148,nonDRNA
seq2254,-0.07,nonDRNA
seq2255,-0.128,nonDRNA
seq2256,0.173,nonDRNA
seq2257,0.247,nonDRNA
seq2258,-0.204,nonDRNA
seq2259,-0.147,nonDRNA
seq2260,-0.085,nonDRNA
seq2261,-0.404,nonDRNA
seq2262,0.142,nonDRNA
seq2263,-0.631,nonDRNA
seq2264,-0.321,nonDRNA
seq2265,-0.251,nonDRNA
seq2266,-0.369,nonDRNA
seq2267,-0.24,nonDRNA
seq2268,-0.292,nonDRNA
seq2269,-0.352,nonDRNA
seq2270,0.032,nonDRNA
seq2271,-0.236,nonDRNA
seq2272,-0.718,nonDRNA
seq2273,0.02,nonDRNA
seq2274,-0.488,nonDRNA
seq2275,-0.446,nonDRNA
seq2276,0.457,nonDRNA
seq2277,-0.165,nonDRNA
seq2278,-0.555,nonDRNA
seq2279,-0.221,nonDRNA
seq2280,-0.158,nonDRNA
seq2281,-0.623,nonDRNA
seq2282,0.091,nonDRNA
seq2283,-0.38,nonDRNA
seq2284,-0.22,nonDRNA
seq2285,-0.228,nonDRNA
seq2286,0.066,nonDRNA
seq2287,-0.397,nonDRNA
seq2288,-0.948,nonDRNA
seq2289,-0.2,nonDRNA
seq2290,-0.184,nonDRNA
seq2291,-0.101,nonDRNA
seq2292,0.013,nonDRNA
seq2293,-0.201,nonDRNA
seq2294,-0.584,nonDRNA
seq2295,-0.382,nonDRNA
seq2296,0.075,nonDRNA
seq2297,0.038,nonDRNA
seq2298,-0.351,nonDRNA
seq2299,-0.353,nonDRNA
seq2300,-0.256,nonDRNA
seq2301,0.186,nonDRNA
seq2302,-0.259,nonDRNA
seq2303,-0.522,nonDRNA
seq2304,-0.139,nonDRNA
seq2305,0.16,nonDRNA
seq2306,0.326,nonDRNA
seq2307,-0.251,nonDRNA
seq2308,-0.08,nonDRNA
seq2309,-0.418,nonDRNA
seq2310,-0.359,nonDRNA
seq2311,-0.411,nonDRNA
seq2312,-0.463,nonDRNA
seq2313,0.019,nonDRNA
seq2314,-0.708,nonDRNA
seq2315,-0.275,nonDRNA
seq2316,-0.205,nonDRNA
seq2317,-0.171,nonDRNA
seq2318,0.705,nonDRNA
seq2319,-0.235,nonDRNA
seq2320,-0.507,nonDRNA
seq2321,-0.468,nonDRNA
seq2322,-0.404,nonDRNA
seq2323,-0.2,nonDRNA
seq2324,-0.311,nonDRNA
seq2325,-0.412,nonDRNA
seq2326,-0.239,nonDRNA
seq2327,-0.611,nonDRNA
seq2328,-0.61,nonDRNA
seq2329,-0.964,nonDRNA
seq2330,-0.989,nonDRNA
seq2331,-0.53,nonDRNA
seq2332,0.782,nonDRNA
seq2333,-0.152,nonDRNA
seq2334,-0.15,nonDRNA
seq2335,-0.68,nonDRNA
seq2336,-0.11,nonDRNA
seq2337,-0.37,nonDRNA
seq2338,-0.401,nonDRNA
seq2339,-0.649,nonDRNA
seq2340,-0.311,nonDRNA
seq2341,-0.255,nonDRNA
seq2342,-0.136,nonDRNA
seq2343,-0.103,nonDRNA
seq2344,-0.373,nonDRNA
seq2345,-0.271,nonDRNA
seq2346,-0.227,nonDRNA
seq2347,-0.528,nonDRNA
seq2348,-0.498,nonDRNA
seq2349,-0.427,nonDRNA
seq2350,-0.357,nonDRNA
seq2351,-0.284,nonDRNA
seq2352,-0.731,nonDRNA
seq2353,-0.229,nonDRNA
seq2354,-0.055,nonDRNA
seq2355,-0.162,nonDRNA
seq2356,-0.174,nonDRNA
seq2357,-0.304,nonDRNA
seq2358,-0.023,nonDRNA
seq2359,-1.197,nonDRNA
seq2360,-0.195,nonDRNA
seq2361,-0.34,nonDRNA
seq2362,0.281,nonDRNA
seq2363,-0.291,nonDRNA
seq2364,-0.238,nonDRNA
seq2365,-0.631,nonDRNA
seq2366,-0.121,nonDRNA
seq2367,0.031,nonDRNA
seq2368,-0.302,nonDRNA
seq2369,-0.752,nonDRNA
seq2370,0.241,nonDRNA
seq2371,-0.529,nonDRNA
seq2372,0.742,nonDRNA
seq2373,-0.285,nonDRNA
seq2374,0.062,nonDRNA
seq2375,-0.454,nonDRNA
seq2376,-0.285,nonDRNA
seq2377,-0.299,nonDRNA
seq2378,-0.549,nonDRNA
seq2379,-0.204,nonDRNA
seq2380,0.047,nonDRNA
seq2381,-0.545,nonDRNA
seq2382,-0.192,nonDRNA
seq2383,-0.564,nonDRNA
seq2384,-0.561,nonDRNA
seq2385,0.217,nonDRNA
seq2386,-0.6,nonDRNA
seq2387,-0.055,nonDRNA
seq2388,-0.324,nonDRNA
seq2389,-0.114,nonDRNA
seq2390,0.352,nonDRNA
seq2391,-0.705,nonDRNA
seq2392,-0.285,nonDRNA
seq2393,-0.07,nonDRNA
seq2394,-0.424,nonDRNA
seq2395,-0.026,nonDRNA
seq2396,-0.171,nonDRNA
seq2397,-0.494,nonDRNA
seq2398,-0.417,nonDRNA
seq2399,-0.24,nonDRNA
seq2400,-0.397,nonDRNA
seq2401,-0.361,nonDRNA
seq2402,-0.233,nonDRNA
seq2403,-0.211,nonDRNA
seq2404,-0.235,nonDRNA
seq2405,0.01,nonDRNA
seq2406,-0.036,nonDRNA
seq2407,-0.078,nonDRNA
seq2408,-0.544,nonDRNA
seq2409,0.01,nonDRNA
seq2410,-0.482,nonDRNA
seq2411,-0.475,nonDRNA
seq2412,-0.151,nonDRNA
seq2413,-0.845,nonDRNA
seq2414,-0.114,nonDRNA
seq2415,-0.179,nonDRNA
seq2416,0.045,nonDRNA
seq2417,0.031,nonDRNA
seq2418,-0.375,nonDRNA
seq2419,0.07,nonDRNA
seq2420,0.065,nonDRNA
seq2421,-0.778,nonDRNA
seq2422,-0.316,nonDRNA
seq2423,-0.336,nonDRNA
seq2424,-0.502,nonDRNA
seq2425,0.012,nonDRNA
seq2426,-0.162,nonDRNA
seq2427,-0.297,nonDRNA
seq2428,-0.143,nonDRNA
seq2429,-0.73,nonDRNA
seq2430,-0.104,nonDRNA
seq2431,-0.003,nonDRNA
seq2432,-0.201,nonDRNA
seq2433,-0.215,nonDRNA
seq2434,-0.153,nonDRNA
seq2435,-0.237,nonDRNA
seq2436,-0.354,nonDRNA
seq2437,-0.621,nonDRNA
seq2438,-0.341,nonDRNA
seq2439,-0.046,nonDRNA
seq2440,0.301,nonDRNA
seq2441,-0.412,nonDRNA
seq2442,-0.473,nonDRNA
seq2443,0.008,nonDRNA
seq2444,-0.346,nonDRNA
seq2445,-0.346,nonDRNA
seq2446,0.842,nonDRNA
seq2447,-0.377,nonDRNA
seq2448,-0.533,nonDRNA
seq2449,-0.432,nonDRNA
seq2450,-0.265,nonDRNA
seq2451,-0.116,nonDRNA
seq2452,0.72,nonDRNA
seq2453,-0.72,nonDRNA
seq2454,0.86,nonDRNA
seq2455,-0.447,nonDRNA
seq2456,-0.33,nonDRNA
seq2457,0.032,nonDRNA
seq2458,0.644,nonDRNA
seq2459,-0.295,nonDRNA
seq2460,-0.277,nonDRNA
seq2461,-0.375,nonDRNA
seq2462,-0.544,nonDRNA
seq2463,-1.569,nonDRNA
seq2464,-0.454,nonDRNA
seq2465,-0.201,nonDRNA
seq2466,-0.47,nonDRNA
seq2467,-0.23,nonDRNA
seq2468,0.133,nonDRNA
seq2469,0.913,nonDRNA
seq2470,-0.023,nonDRNA
seq2471,-0.243,nonDRNA
seq2472,0.054,nonDRNA
seq2473,-0.418,nonDRNA
seq2474,-0.228,nonDRNA
seq2475,-0.585,nonDRNA
seq2476,-0.357,nonDRNA
seq2477,-0.492,nonDRNA
seq2478,-0.484,nonDRNA
seq2479,-0.642,nonDRNA
seq2480,-0.403,nonDRNA
seq2481,-0.511,nonDRNA
seq2482,-1.112,nonDRNA
seq2483,0.59,nonDRNA
seq2484,-0.518,nonDRNA
seq2485,0.348,nonDRNA
seq2486,-0.822,nonDRNA
seq2487,-0.101,nonDRNA
seq2488,-0.25,nonDRNA
seq2489,-0.303,nonDRNA
seq2490,-0.786,nonDRNA
seq2491,-0.887,nonDRNA
seq2492,-0.7,nonDRNA
seq2493,-0.414,nonDRNA
seq2494,0.452,nonDRNA
seq2495,-0.278,nonDRNA
seq2496,-0.133,nonDRNA
seq2497,-0.318,nonDRNA
seq2498,-0.403,nonDRNA
seq2499,-0.609,nonDRNA
seq2500,-0.245,nonDRNA
seq2501,-0.378,nonDRNA
seq2502,-0.743,nonDRNA
seq2503,-0.325,nonDRNA
seq2504,0.231,nonDRNA
seq2505,-0.079,nonDRNA
seq2506,-0.513,nonDRNA
seq2507,-0.168,nonDRNA
seq2508,-0.164,nonDRNA
seq2509,-0.743,nonDRNA
seq2510,-0.27,nonDRNA
seq2511,-0.471,nonDRNA
seq2512,-0.337,nonDRNA
seq2513,-0.125,nonDRNA
seq2514,-0.175,nonDRNA
seq2515,-0.462,nonDRNA
seq2516,0.126,nonDRNA
seq2517,0.313,nonDRNA
seq2518,-0.348,nonDRNA
seq2519,-0.021,nonDRNA
seq2520,-0.396,nonDRNA
seq2521,0.04,nonDRNA
seq2522,-0.419,nonDRNA
seq2523,-0.658,nonDRNA
seq2524,-0.749,nonDRNA
seq2525,0.203,nonDRNA
seq2526,-0.738,nonDRNA
seq2527,-0.746,nonDRNA
seq2528,-0.515,nonDRNA
seq2529,-0.075,nonDRNA
seq2530,0.238,nonDRNA
seq2531,-0.352,nonDRNA
seq2532,0.1,nonDRNA
seq2533,-0.339,nonDRNA
seq2534,-0.799,nonDRNA
seq2535,-0.415,nonDRNA
seq2536,-0.331,nonDRNA
seq2537,-0.301,nonDRNA
seq2538,-0.62,nonDRNA
seq2539,0.063,nonDRNA
seq2540,-0.073,nonDRNA
seq2541,-0.268,nonDRNA
seq2542,-0.491,nonDRNA
seq2543,-0.691,nonDRNA
seq2544,0.318,nonDRNA
seq2545,-0.211,nonDRNA
seq2546,-0.195,nonDRNA
seq2547,-0.35,nonDRNA
seq2548,-0.304,nonDRNA
seq2549,-0.317,nonDRNA
seq2550,-0.351,nonDRNA
seq2551,-0.048,nonDRNA
seq2552,-0.557,nonDRNA
seq2553,-0.392,nonDRNA
seq2554,-0.455,nonDRNA
seq2555,-0.621,nonDRNA
seq2556,-0.418,nonDRNA
seq2557,0.11,nonDRNA
seq2558,-0.475,nonDRNA
seq2559,-0.549,nonDRNA
seq2560,-0.091,nonDRNA
seq2561,-0.253,nonDRNA
seq2562,-0.113,nonDRNA
seq2563,-0.351,nonDRNA
seq2564,-0.222,nonDRNA
seq2565,-0.909,nonDRNA
seq2566,-0.205,nonDRNA
seq2567,-0.238,nonDRNA
seq2568,-0.288,nonDRNA
seq2569,-0.09,nonDRNA
seq2570,-0.186,nonDRNA
seq2571,0.29,nonDRNA
seq2572,-0.28,nonDRNA
seq2573,-0.158,nonDRNA
seq2574,0.123,nonDRNA
seq2575,-0.422,nonDRNA
seq2576,-0.079,nonDRNA
seq2577,-0.368,nonDRNA
seq2578,-0.062,nonDRNA
seq2579,-0.023,nonDRNA
seq2580,0.082,nonDRNA
seq2581,-0.13,nonDRNA
seq2582,-0.333,nonDRNA
seq2583,-0.706,nonDRNA
seq2584,-0.204,nonDRNA
seq2585,-0.868,nonDRNA
seq2586,-0.24,nonDRNA
seq2587,-0.248,nonDRNA
seq2588,-0.518,nonDRNA
seq2589,-0.588,nonDRNA
seq2590,-0.325,nonDRNA
seq2591,-0.841,nonDRNA
seq2592,-0.352,nonDRNA
seq2593,0.058,nonDRNA
seq2594,0.341,nonDRNA
seq2595,-0.109,nonDRNA
seq2596,0.057,nonDRNA
seq2597,-0.398,nonDRNA
seq2598,-0.574,nonDRNA
seq2599,0.031,nonDRNA
seq2600,0.069,nonDRNA
seq2601,-1.174,nonDRNA
seq2602,-0.369,nonDRNA
seq2603,-0.594,nonDRNA
seq2604,-0.008,nonDRNA
seq2605,-0.674,nonDRNA
seq2606,-0.332,nonDRNA
seq2607,-0.427,nonDRNA
seq2608,-0.179,nonDRNA
seq2609,-0.678,nonDRNA
seq2610,-0.668,nonDRNA
seq2611,0.112,nonDRNA
seq2612,-0.368,nonDRNA
seq2613,-0.205,nonDRNA
seq2614,-0.34,nonDRNA
seq2615,0.088,nonDRNA
seq2616,-0.218,nonDRNA
seq2617,-0.208,nonDRNA
seq2618,0.067,nonDRNA
seq2619,-0.534,nonDRNA
seq2620,0.14,nonDRNA
seq2621,-0.138,nonDRNA
seq2622,-0.21,nonDRNA
seq2623,-0.607,nonDRNA
seq2624,-0.574,nonDRNA
seq2625,-0.632,nonDRNA
seq2626,-0.039,nonDRNA
seq2627,-0.202,nonDRNA
seq2628,-0.449,nonDRNA
seq2629,-0.47,nonDRNA
seq2630,-0.647,nonDRNA
seq2631,-0.647,nonDRNA
seq2632,-0.883,nonDRNA
seq2633,-0.394,nonDRNA
seq2634,-0.481,nonDRNA
seq2635,-0.115,nonDRNA
seq2636,-0.357,nonDRNA
seq2637,-0.399,nonDRNA
seq2638,-0.398,nonDRNA
seq2639,-0.824,nonDRNA
seq2640,-0.656,nonDRNA
seq2641,-0.126,nonDRNA
seq2642,0.03,nonDRNA
seq2643,-0.393,nonDRNA
seq2644,-0.242,nonDRNA
seq2645,-0.228,nonDRNA
seq2646,-0.21,nonDRNA
seq2647,-0.685,nonDRNA
seq2648,-0.257,nonDRNA
seq2649,-0.211,nonDRNA
seq2650,-0.692,nonDRNA
seq2651,-0.45,nonDRNA
seq2652,-0.459,nonDRNA
seq2653,-0.353,nonDRNA
seq2654,-0.176,nonDRNA
seq2655,-0.556,nonDRNA
seq2656,0.275,nonDRNA
seq2657,-0.467,nonDRNA
seq2658,1.312,nonDRNA
seq2659,-0.655,nonDRNA
seq2660,-0.292,nonDRNA
seq2661,-0.65,nonDRNA
seq2662,0.37,nonDRNA
seq2663,-0.112,nonDRNA
seq2664,-0.138,nonDRNA
seq2665,-0.032,nonDRNA
seq2666,-0.42,nonDRNA
seq2667,-0.467,nonDRNA
seq2668,-0.314,nonDRNA
seq2669,0.022,nonDRNA
seq2670,-0.331,nonDRNA
seq2671,0.734,nonDRNA
seq2672,-0.053,nonDRNA
seq2673,-0.08,nonDRNA
seq2674,-0.132,nonDRNA
seq2675,-0.114,nonDRNA
seq2676,-0.56,nonDRNA
seq2677,-0.053,nonDRNA
seq2678,-0.013,nonDRNA
seq2679,-0.004,nonDRNA
seq2680,0.661,nonDRNA
seq2681,0.004,nonDRNA
seq2682,-0.565,nonDRNA
seq2683,-0.177,nonDRNA
seq2684,-0.073,nonDRNA
seq2685,-0.139,nonDRNA
seq2686,-0.217,nonDRNA
seq2687,-0.237,nonDRNA
seq2688,-0.107,nonDRNA
seq2689,-0.335,nonDRNA
seq2690,0.03,nonDRNA
seq2691,-0.047,nonDRNA
seq2692,-1.256,nonDRNA
seq2693,-0.135,nonDRNA
seq2694,-0.009,nonDRNA
seq2695,-0.384,nonDRNA
seq2696,-0.684,nonDRNA
seq2697,0.005,nonDRNA
seq2698,-0.207,nonDRNA
seq2699,-0.647,nonDRNA
seq2700,-0.677,nonDRNA
seq2701,-0.167,nonDRNA
seq2702,-0.566,nonDRNA
seq2703,-0.381,nonDRNA
seq2704,-0.227,nonDRNA
seq2705,-0.101,nonDRNA
seq2706,-0.21,nonDRNA
seq2707,-0.878,nonDRNA
seq2708,0.036,nonDRNA
seq2709,-0.423,nonDRNA
seq2710,-0.321,nonDRNA
seq2711,-0.052,nonDRNA
seq2712,-0.12,nonDRNA
seq2713,-0.098,nonDRNA
seq2714,-0.159,nonDRNA
seq2715,-0.14,nonDRNA
seq2716,-0.143,nonDRNA
seq2717,0.106,nonDRNA
seq2718,-0.222,nonDRNA
seq2719,-0.245,nonDRNA
seq2720,-0.078,nonDRNA
seq2721,-0.102,nonDRNA
seq2722,-0.318,nonDRNA
seq2723,0.184,nonDRNA
seq2724,-0.513,nonDRNA
seq2725,-0.222,nonDRNA
seq2726,0.171,nonDRNA
seq2727,-0.628,nonDRNA
seq2728,-0.001,nonDRNA
seq2729,-0.666,nonDRNA
seq2730,-0.308,nonDRNA
seq2731,-0.05,nonDRNA
seq2732,-0.374,nonDRNA
seq2733,-0.216,nonDRNA
seq2734,0.886,nonDRNA
seq2735,-0.301,nonDRNA
seq2736,-0.178,nonDRNA
seq2737,-0.413,nonDRNA
seq2738,-0.193,nonDRNA
seq2739,-0.227,nonDRNA
seq2740,-0.473,nonDRNA
seq2741,-0.126,nonDRNA
seq2742,0.275,nonDRNA
seq2743,-0.588,nonDRNA
seq2744,-0.162,nonDRNA
seq2745,-0.405,nonDRNA
seq2746,-0.16,nonDRNA
seq2747,-0.255,nonDRNA
seq2748,-0.436,nonDRNA
seq2749,0.102,nonDRNA
seq2750,-0.247,nonDRNA
seq2751,-0.255,nonDRNA
seq2752,-0.088,nonDRNA
seq2753,-0.482,nonDRNA
seq2754,-0.129,nonDRNA
seq2755,-0.067,nonDRNA
seq2756,-0.392,nonDRNA
seq2757,-0.443,nonDRNA
seq2758,-0.374,nonDRNA
seq2759,-0.425,nonDRNA
seq2760,-0.454,nonDRNA
seq2761,-0.386,nonDRNA
seq2762,-0.183,nonDRNA
seq2763,0.251,nonDRNA
seq2764,-0.245,nonDRNA
seq2765,-0.165,nonDRNA
seq2766,-0.309,nonDRNA
seq2767,-0.31,nonDRNA
seq2768,-0.023,nonDRNA
seq2769,-0.468,nonDRNA
seq2770,-0.043,nonDRNA
seq2771,0.023,nonDRNA
seq2772,-0.091,nonDRNA
seq2773,-1.181,nonDRNA
seq2774,-0.738,nonDRNA
seq2775,-0.453,nonDRNA
seq2776,-0.31,nonDRNA
seq2777,-0.83,nonDRNA
seq2778,-0.135,nonDRNA
seq2779,-0.314,nonDRNA
seq2780,-0.202,nonDRNA
seq2781,-0.127,nonDRNA
seq2782,-0.573,nonDRNA
seq2783,0.287,nonDRNA
seq2784,0.049,nonDRNA
seq2785,-0.174,nonDRNA
seq2786,-0.322,nonDRNA
seq2787,-0.302,nonDRNA
seq2788,-0.236,nonDRNA
seq2789,-0.808,nonDRNA
seq2790,-0.496,nonDRNA
seq2791,-0.771,nonDRNA
seq2792,-0.466,nonDRNA
seq2793,0.028,nonDRNA
seq2794,-0.57,nonDRNA
seq2795,-0.607,nonDRNA
seq2796,-0.142,nonDRNA
seq2797,-0.079,nonDRNA
seq2798,-0.16,nonDRNA
seq2799,0.034,nonDRNA
seq2800,-0.179,nonDRNA
seq2801,-0.398,nonDRNA
seq2802,-0.08,nonDRNA
seq2803,-0.136,nonDRNA
seq2804,-0.092,nonDRNA
seq2805,-0.247,nonDRNA
seq2806,-0.329,nonDRNA
seq2807,-0.486,nonDRNA
seq2808,-0.028,nonDRNA
seq2809,-0.306,nonDRNA
seq2810,-0.514,nonDRNA
seq2811,-0.381,nonDRNA
seq2812,-0.112,nonDRNA
seq2813,-0.23,nonDRNA
seq2814,-0.884,nonDRNA
seq2815,0.019,nonDRNA
seq2816,-0.293,nonDRNA
seq2817,-0.094,nonDRNA
seq2818,-0.147,nonDRNA
seq2819,-0.567,nonDRNA
seq2820,0.112,nonDRNA
seq2821,-0.381,nonDRNA
seq2822,-0.571,nonDRNA
seq2823,-0.581,nonDRNA
seq2824,-0.507,nonDRNA
seq2825,-0.143,nonDRNA
seq2826,-0.249,nonDRNA
seq2827,0.22,nonDRNA
seq2828,0.159,nonDRNA
seq2829,0.038,nonDRNA
seq2830,0.002,nonDRNA
seq2831,-0.299,nonDRNA
seq2832,-0.564,nonDRNA
seq2833,-0.583,nonDRNA
seq2834,-0.409,nonDRNA
seq2835,-0.442,nonDRNA
seq2836,-0.144,nonDRNA
seq2837,-0.362,nonDRNA
seq2838,0.05,nonDRNA
seq2839,0.111,nonDRNA
seq2840,-0.165,nonDRNA
seq2841,-0.171,nonDRNA
seq2842,-0.608,nonDRNA
seq2843,-0.166,nonDRNA
seq2844,-0.026,nonDRNA
seq2845,0.026,nonDRNA
seq2846,-0.956,nonDRNA
seq2847,-0.189,nonDRNA
seq2848,-0.568,nonDRNA
seq2849,-0.091,nonDRNA
seq2850,-0.81,nonDRNA
seq2851,-0.178,nonDRNA
seq2852,-0.577,nonDRNA
seq2853,-0.078,nonDRNA
seq2854,-0.234,nonDRNA
seq2855,-0.25,nonDRNA
seq2856,-0.228,nonDRNA
seq2857,-0.279,nonDRNA
seq2858,-0.363,nonDRNA
seq2859,0.077,nonDRNA
seq2860,-0.258,nonDRNA
seq2861,-0.404,nonDRNA
seq2862,0.006,nonDRNA
seq2863,-0.323,nonDRNA
seq2864,-0.568,nonDRNA
seq2865,-0.283,nonDRNA
seq2866,-0.443,nonDRNA
seq2867,-0.404,nonDRNA
seq2868,0.538,nonDRNA
seq2869,-0.338,nonDRNA
seq2870,-0.282,nonDRNA
seq2871,-0.734,nonDRNA
seq2872,-0.363,nonDRNA
seq2873,-0.582,nonDRNA
seq2874,-0.658,nonDRNA
seq2875,-0.167,nonDRNA
seq2876,-0.404,nonDRNA
seq2877,-0.32,nonDRNA
seq2878,-0.627,nonDRNA
seq2879,-0.04,nonDRNA
seq2880,-0.143,nonDRNA
seq2881,0.651,nonDRNA
seq2882,-0.41,nonDRNA
seq2883,0.503,nonDRNA
seq2884,-0.232,nonDRNA
seq2885,-0.415,nonDRNA
seq2886,-0.511,nonDRNA
seq2887,-0.123,nonDRNA
seq2888,-0.093,nonDRNA
seq2889,-0.497,nonDRNA
seq2890,-0.505,nonDRNA
seq2891,0.534,nonDRNA
seq2892,-1.213,nonDRNA
seq2893,-0.325,nonDRNA
seq2894,-0.14,nonDRNA
seq2895,-0.605,nonDRNA
seq2896,-0.201,nonDRNA
seq2897,-0.541,nonDRNA
seq2898,0.902,nonDRNA
seq2899,-0.4,nonDRNA
seq2900,-0.027,nonDRNA
seq2901,-0.617,nonDRNA
seq2902,-0.351,nonDRNA
seq2903,-0.322,nonDRNA
seq2904,-0.436,nonDRNA
seq2905,-0.055,nonDRNA
seq2906,-0.6,nonDRNA
seq2907,-0.489,nonDRNA
seq2908,-0.914,nonDRNA
seq2909,-0.477,nonDRNA
seq2910,-0.243,nonDRNA
seq2911,-0.174,nonDRNA
seq2912,-0.341,nonDRNA
seq2913,-0.394,nonDRNA
seq2914,-0.441,nonDRNA
seq2915,-0.076,nonDRNA
seq2916,-0.315,nonDRNA
seq2917,-0.325,nonDRNA
seq2918,-0.342,nonDRNA
seq2919,-0.337,nonDRNA
seq2920,-0.749,nonDRNA
seq2921,-0.434,nonDRNA
seq2922,-0.205,nonDRNA
seq2923,-0.255,nonDRNA
seq2924,-0.111,nonDRNA
seq2925,-0.056,nonDRNA
seq2926,-0.408,nonDRNA
seq2927,-0.252,nonDRNA
seq2928,-0.656,nonDRNA
seq2929,-0.578,nonDRNA
seq2930,0.146,nonDRNA
seq2931,-0.447,nonDRNA
seq2932,-0.291,nonDRNA
seq2933,0.143,nonDRNA
seq2934,-0.387,nonDRNA
seq2935,-0.795,nonDRNA
seq2936,-0.603,nonDRNA
seq2937,-0.248,nonDRNA
seq2938,-0.066,nonDRNA
seq2939,-0.11,nonDRNA
seq2940,0.006,nonDRNA
seq2941,-0.426,nonDRNA
seq2942,-0.47,nonDRNA
seq2943,0.042,nonDRNA
seq2944,-0.365,nonDRNA
seq2945,-0.179,nonDRNA
seq2946,-0.256,nonDRNA
seq2947,-0.393,nonDRNA
seq2948,-0.154,nonDRNA
seq2949,-0.043,nonDRNA
seq2950,-0.005,nonDRNA
seq2951,-0.164,nonDRNA
seq2952,-0.02,nonDRNA
seq2953,-0.071,nonDRNA
seq2954,-0.165,nonDRNA
seq2955,-0.446,nonDRNA
seq2956,-0.392,nonDRNA
seq2957,-1.074,nonDRNA
seq2958,-0.111,nonDRNA
seq2959,-0.762,nonDRNA
seq2960,-0.005,nonDRNA
seq2961,0.014,nonDRNA
seq2962,-0.174,nonDRNA
seq2963,-0.684,nonDRNA
seq2964,-0.272,nonDRNA
seq2965,0.019,nonDRNA
seq2966,-0.058,nonDRNA
seq2967,-0.25,nonDRNA
seq2968,-0.384,nonDRNA
seq2969,-0.461,nonDRNA
seq2970,-0.339,nonDRNA
seq2971,-0.066,nonDRNA
seq2972,0.534,nonDRNA
seq2973,-0.271,nonDRNA
seq2974,-0.573,nonDRNA
seq2975,0.024,nonDRNA
seq2976,-0.568,nonDRNA
seq2977,-0.529,nonDRNA
seq2978,-0.152,nonDRNA
seq2979,-0.115,nonDRNA
seq2980,-0.159,nonDRNA
seq2981,-0.474,nonDRNA
seq2982,-0.391,nonDRNA
seq2983,-0.49,nonDRNA
seq2984,-0.051,nonDRNA
seq2985,-0.437,nonDRNA
seq2986,-0.016,nonDRNA
seq2987,-0.439,nonDRNA
seq2988,-0.605,nonDRNA
seq2989,-0.351,nonDRNA
seq2990,-0.321,nonDRNA
seq2991,-0.762,nonDRNA
seq2992,-0.391,nonDRNA
seq2993,-0.427,nonDRNA
seq2994,-0.423,nonDRNA
seq2995,-0.254,nonDRNA
seq2996,-0.36,nonDRNA
seq2997,-0.543,nonDRNA
seq2998,0.864,nonDRNA
seq2999,0.309,nonDRNA
seq3000,-0.402,nonDRNA
seq3001,-0.44,nonDRNA
seq3002,0.068,nonDRNA
seq3003,0.029,nonDRNA
seq3004,-0.447,nonDRNA
seq3005,-0.051,nonDRNA
seq3006,-1.035,nonDRNA
seq3007,-0.483,nonDRNA
seq3008,-0.455,nonDRNA
seq3009,-0.091,nonDRNA
seq3010,-0.189,nonDRNA
seq3011,-0.343,nonDRNA
seq3012,-0.202,nonDRNA
seq3013,-0.306,nonDRNA
seq3014,-0.426,nonDRNA
seq3015,-0.245,nonDRNA
seq3016,-0.362,nonDRNA
seq3017,-0.346,nonDRNA
seq3018,-0.045,nonDRNA
seq3019,0.022,nonDRNA
seq3020,-0.079,nonDRNA
seq3021,0.002,nonDRNA
seq3022,0.158,nonDRNA
seq3023,-0.421,nonDRNA
seq3024,-0.263,nonDRNA
seq3025,-0.207,nonDRNA
seq3026,-0.18,nonDRNA
seq3027,-0.515,nonDRNA
seq3028,-0.123,nonDRNA
seq3029,-0.228,nonDRNA
seq3030,-0.579,nonDRNA
seq3031,-0.755,nonDRNA
seq3032,-0.336,nonDRNA
seq3033,-0.224,nonDRNA
seq3034,-0.215,nonDRNA
seq3035,-0.202,nonDRNA
seq3036,0.017,nonDRNA
seq3037,0.031,nonDRNA
seq3038,-0.042,nonDRNA
seq3039,-0.356,nonDRNA
seq3040,-0.13,nonDRNA
seq3041,-0.033,nonDRNA
seq3042,-0.214,nonDRNA
seq3043,0.927,nonDRNA
seq3044,-0.33,nonDRNA
seq3045,-0.824,nonDRNA
seq3046,0.592,nonDRNA
seq3047,0.658,nonDRNA
seq3048,-0.542,nonDRNA
seq3049,-0.529,nonDRNA
seq3050,-0.259,nonDRNA
seq3051,-0.15,nonDRNA
seq3052,-0.469,nonDRNA
seq3053,-0.13,nonDRNA
seq3054,-0.394,nonDRNA
seq3055,0.036,nonDRNA
seq3056,-0.344,nonDRNA
seq3057,-0.302,nonDRNA
seq3058,-0.326,nonDRNA
seq3059,-0.425,nonDRNA
seq3060,-0.425,nonDRNA
seq3061,-0.229,nonDRNA
seq3062,-0.351,nonDRNA
seq3063,-0.629,nonDRNA
seq3064,-0.291,nonDRNA
seq3065,-0.081,nonDRNA
seq3066,-0.405,nonDRNA
seq3067,-0.353,nonDRNA
seq3068,-0.374,nonDRNA
seq3069,-0.544,nonDRNA
seq3070,-0.166,nonDRNA
seq3071,-0.207,nonDRNA
