seq,class,predicted class na�ve,predicted class knn,nondrna na_Ѣve,drna na_Ѣve,rna na_Ѣve,dna na_Ѣve,nondrna knn,drna knn,rna knn,dna knn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,,,,
352,DNA,RNA,nonDRNA,1.40E-07,2.03E-09,0.69010508,0.309894778,0.619678991,0,0,0.380321009,26,0,6,17,40,15,17,14,9,0,22,30,11,15,0,35,12,16,37,15,0,9,2,0,9,0,2,0,9,0
353,DNA,RNA,nonDRNA,1.33E-08,7.75E-13,0.997877108,0.002122879,0.872577686,0,0.127422314,0,6,0,4,2,6,3,8,7,8,0,4,7,3,3,0,4,7,6,10,5,0,10,1,0,0,0,1,0,0,0
354,DNA,DNA,nonDRNA,8.78E-08,8.47E-11,0.337858612,0.6621413,0.873414696,0,0,0.126585304,21,0,0,15,17,8,15,7,14,0,6,31,4,5,0,10,9,22,8,11,0,16,2,0,4,0,2,0,4,0
355,DNA,DNA,nonDRNA,9.42E-07,3.85E-09,0.014716157,0.985282898,1,0,0,0,27,0,19,29,36,19,24,17,23,0,37,43,13,12,0,21,19,26,28,25,0,26,6,0,11,0,6,0,11,0
356,DNA,RNA,nonDRNA,4.59E-07,3.06E-10,0.658109711,0.341889831,0.874995599,0,0.125004401,0,31,0,5,22,37,16,22,5,8,0,18,35,6,5,0,25,13,31,13,15,0,38,8,0,13,0,8,0,13,0
357,DNA,DNA,DNA,1.42E-06,8.22E-09,0.035097357,0.964901213,0.253616736,0,0,0.746383264,22,0,12,17,25,20,22,21,16,0,25,36,12,26,0,48,21,18,52,19,0,31,8,0,14,0,8,0,14,0
358,DNA,DNA,nonDRNA,1.52E-07,1.67E-10,0.225880401,0.774119447,1,0,0,0,36,0,0,9,30,6,32,6,6,0,8,46,4,0,0,23,4,29,7,11,0,16,5,0,7,0,5,0,7,0
359,DNA,RNA,nonDRNA,6.79E-08,4.97E-12,0.974111029,0.025888903,1,0,0,0,10,0,3,8,9,5,22,5,10,0,13,10,2,15,0,25,8,9,21,19,0,12,1,0,4,0,1,0,4,0
360,DNA,RNA,nonDRNA,1.48E-07,1.96E-10,0.754794906,0.245204946,0.748250633,0,0.251749367,0,10,0,0,16,5,5,9,2,18,0,18,20,1,8,0,9,9,9,9,7,0,5,0,0,10,0,0,0,10,0
361,DNA,DNA,DNA,5.70E-07,8.76E-08,0.111076647,0.888922695,0.250841037,0,0,0.749158963,24,0,7,18,30,12,36,14,20,0,21,33,11,14,0,48,26,34,52,36,0,23,4,0,16,0,4,0,16,0
362,DNA,RNA,nonDRNA,5.85E-06,3.69E-10,0.762902662,0.237091484,0.873184089,0,0.126815911,0,15,0,2,18,19,10,10,9,23,0,31,32,5,20,0,10,9,13,16,22,0,16,4,0,9,0,4,0,9,0
363,DNA,DRNA,nonDRNA,0.002345056,0.966730646,2.42E-07,0.030924056,0.375882235,0,0.249431794,0.374685971,110,0,3,32,33,13,57,63,12,0,20,57,7,32,0,53,31,39,84,37,0,21,6,0,13,0,6,0,13,0
364,DNA,RNA,nonDRNA,4.38E-08,3.91E-12,0.996095335,0.003904621,0.875850279,0,0.124149721,0,6,0,4,7,8,6,9,1,1,0,9,10,2,1,0,2,3,5,3,3,0,6,2,0,1,0,2,0,1,0
365,DNA,DNA,nonDRNA,3.54E-04,3.64E-06,0.004698427,0.994944261,0.626224758,0,0,0.373775242,62,0,6,19,28,16,46,27,24,0,12,30,17,30,0,56,29,33,87,35,0,31,4,0,21,0,4,0,21,0
366,DNA,DNA,nonDRNA,6.11E-08,7.42E-11,0.122742943,0.877256996,1,0,0,0,35,0,4,18,15,9,25,4,22,0,14,29,4,4,0,22,10,23,15,13,0,26,4,0,9,0,4,0,9,0
367,DNA,RNA,nonDRNA,4.12E-08,4.75E-12,0.991804811,0.008195148,0.626564904,0,0.124455783,0.248979314,10,0,3,8,10,5,7,0,8,0,14,18,2,6,0,3,6,7,6,10,0,4,1,0,7,0,1,0,7,0
368,DNA,RNA,nonDRNA,4.80E-08,4.60E-12,0.987949402,0.01205055,1,0,0,0,10,0,2,6,9,2,8,5,9,0,10,16,5,4,0,6,9,6,5,5,0,12,3,0,8,0,3,0,8,0
369,DNA,DNA,nonDRNA,1.85E-06,1.72E-07,0.164631139,0.835366834,0.876655771,0,0,0.123344229,37,0,3,18,44,6,41,11,10,0,65,23,7,3,0,56,14,34,52,25,0,31,1,0,5,0,1,0,5,0
370,DNA,RNA,nonDRNA,1.07E-05,1.25E-09,0.534370378,0.465618953,1,0,0,0,20,0,8,23,37,12,25,9,11,0,32,35,11,14,0,13,13,27,12,10,0,23,3,0,10,0,3,0,10,0
371,DNA,RNA,nonDRNA,7.23E-06,7.89E-10,0.804612476,0.195380297,0.749714309,0,0,0.250285691,17,0,1,19,22,12,10,4,35,0,37,32,2,18,0,8,11,18,27,16,0,11,0,0,9,0,0,0,9,0
372,DNA,DNA,nonDRNA,1.47E-04,1.02E-04,0.083860131,0.915890842,0.501330194,0,0.498669806,0,51,0,3,39,72,22,37,14,53,0,32,63,13,17,0,26,26,60,23,37,0,44,0,0,26,0,0,0,26,0
373,DNA,RNA,nonDRNA,1.32E-07,1.31E-11,0.86493404,0.135065828,0.750655756,0,0,0.249344244,23,0,3,11,23,14,14,6,23,0,15,27,9,13,0,11,14,16,18,13,0,11,4,0,11,0,4,0,11,0
374,DNA,RNA,nonDRNA,8.69E-08,1.56E-11,0.932673953,0.06732596,1,0,0,0,22,0,1,9,18,10,18,9,18,0,7,26,3,13,0,10,9,18,12,14,0,10,4,0,8,0,4,0,8,0
375,DNA,DNA,nonDRNA,1.10E-04,0.006124755,0.001684881,0.992079917,0.7491488,0,0.125028258,0.125822942,73,0,6,45,54,22,43,22,31,0,31,65,17,38,0,47,32,46,45,41,0,36,3,0,18,0,3,0,18,0
376,DNA,RNA,RNA,1.41E-08,3.01E-13,0.998811161,0.001188825,0.375715241,0,0.624284759,0,4,0,0,5,7,2,5,0,1,0,14,3,3,1,0,1,0,4,3,3,0,7,1,0,2,0,1,0,2,0
377,DNA,DNA,nonDRNA,2.47E-06,1.34E-09,0.159776361,0.840221171,0.751568114,0,0,0.248431886,54,0,4,25,21,12,45,10,9,0,29,30,8,10,0,37,6,17,83,13,0,14,4,0,9,0,4,0,9,0
378,DNA,RNA,nonDRNA,4.36E-08,6.41E-12,0.989020781,0.010979175,0.875561967,0,0.124438033,0,8,0,0,9,12,3,4,3,15,0,19,16,4,7,0,1,7,8,13,8,0,10,0,0,4,0,0,0,4,0
379,DNA,RNA,nonDRNA,4.47E-08,4.38E-12,0.989024214,0.010975741,0.501138773,0,0.498861227,0,10,0,1,13,15,4,8,7,10,0,5,9,3,1,0,5,4,17,10,6,0,11,0,0,4,0,0,0,4,0
380,DNA,DRNA,nonDRNA,0.0024847,0.997508549,5.18E-12,6.75E-06,0.749246673,0,0,0.250753327,42,0,18,68,54,46,39,20,70,0,60,106,22,95,0,32,42,33,94,56,0,37,8,0,37,0,8,0,37,0
381,DNA,RNA,nonDRNA,4.27E-08,6.91E-11,0.917275724,0.082724233,0.750173347,0,0.12454476,0.125281894,31,0,7,11,18,9,25,5,6,0,12,27,8,4,0,26,18,30,20,12,0,18,3,0,8,0,3,0,8,0
382,DNA,RNA,DNA,1.19E-08,4.34E-13,0.998220799,0.001779189,0,0,0.499642329,0.500357671,10,0,0,4,10,3,3,0,2,0,15,5,2,5,0,7,3,7,3,6,0,3,1,0,4,0,1,0,4,0
383,DNA,DNA,nonDRNA,4.58E-05,1.65E-08,0.380238854,0.619715306,0.749660842,0,0,0.250339158,14,0,4,14,25,28,34,4,31,0,46,46,11,20,0,17,15,14,45,19,0,23,7,0,15,0,7,0,15,0
384,DNA,DNA,nonDRNA,0.011764032,0.006175937,1.57E-05,0.982044357,0.865363275,0,0,0.134636725,44,0,25,49,55,20,56,17,21,0,58,59,13,32,0,44,35,58,60,39,0,56,13,0,28,0,13,0,28,0
385,DNA,DNA,nonDRNA,0.001102645,0.012967681,1.79E-06,0.985927886,0.864541662,0,0,0.135458338,45,0,27,56,61,21,61,15,21,0,51,55,16,32,0,40,33,68,59,36,0,55,14,0,27,0,14,0,27,0
386,DNA,DRNA,nonDRNA,0.195451487,0.596941034,0.004090526,0.203516953,0.876903443,0,0,0.123096557,34,0,4,57,63,40,35,8,84,0,78,89,16,48,0,24,13,38,55,32,0,42,9,0,33,0,9,0,33,0
387,DNA,RNA,nonDRNA,1.64E-07,6.46E-11,0.829380829,0.170619007,1,0,0,0,9,0,1,22,16,11,22,3,23,0,18,31,9,17,0,21,14,16,19,14,0,16,3,0,14,0,3,0,14,0
388,DNA,RNA,DNA,2.90E-07,1.37E-09,0.942088815,0.057910894,0.373031183,0,0.125650154,0.501318663,26,0,1,9,12,2,35,11,4,0,17,20,25,15,0,26,18,17,36,14,0,12,3,0,14,0,3,0,14,0
389,DNA,RNA,DNA,2.23E-07,6.04E-11,0.846232025,0.153767752,0.371921514,0,0.122647798,0.505430688,31,0,1,9,10,7,26,4,4,0,14,17,4,4,0,49,13,14,19,12,0,11,4,0,12,0,4,0,12,0
390,DNA,RNA,DNA,3.47E-07,5.71E-11,0.764821384,0.23517827,0.124759077,0,0,0.875240923,40,0,2,8,10,3,26,14,4,0,13,24,4,11,0,43,25,16,25,10,0,17,4,0,14,0,4,0,14,0
391,DNA,DNA,nonDRNA,1.59E-04,2.05E-04,7.09E-06,0.999628646,0.876497109,0,0,0.123502891,39,0,23,34,61,39,34,18,36,0,59,62,9,35,0,52,26,32,90,41,0,19,8,0,22,0,8,0,22,0
392,RNA,RNA,RNA,1.08E-07,9.51E-11,0.761027272,0.23897262,0,0,0.878549103,0.121450897,16,0,2,5,9,4,14,2,9,0,16,14,2,2,0,9,8,15,7,5,0,13,0,0,8,0,0,0,8,0
393,RNA,DNA,nonDRNA,2.44E-06,8.95E-07,0.080618211,0.919378451,0.749347028,0,0,0.250652972,32,0,7,32,32,18,38,11,24,0,37,49,15,15,0,38,16,24,41,32,0,24,11,0,14,0,11,0,14,0
394,RNA,RNA,nonDRNA,2.19E-06,3.95E-11,0.957594772,0.042403036,0.749854568,0,0.250145432,0,16,0,4,8,4,7,17,3,13,0,16,12,2,3,0,11,4,10,10,15,0,16,2,0,6,0,2,0,6,0
395,RNA,DNA,nonDRNA,8.93E-08,1.19E-10,0.276947652,0.723052259,0.872956592,0,0.127043408,0,20,0,3,5,24,5,20,6,4,0,21,35,4,9,0,14,8,28,12,12,0,28,5,0,5,0,5,0,5,0
396,RNA,RNA,nonDRNA,9.12E-08,2.44E-11,0.935089969,0.064909939,0.873741934,0,0.126258066,0,19,0,3,10,16,11,8,7,7,0,25,35,4,8,0,12,12,26,15,9,0,12,7,0,4,0,7,0,4,0
397,RNA,RNA,nonDRNA,2.83E-06,7.41E-11,0.915664525,0.084332644,0.626454034,0,0.373545966,0,17,0,3,6,12,5,13,9,15,0,18,22,5,5,0,13,10,17,13,5,0,11,3,0,10,0,3,0,10,0
398,RNA,DNA,nonDRNA,5.78E-07,3.04E-08,0.383005533,0.616993858,1,0,0,0,42,0,7,19,23,12,42,9,18,0,33,32,9,12,0,20,18,43,25,24,0,23,9,0,10,0,9,0,10,0
399,RNA,DNA,nonDRNA,9.40E-08,1.71E-10,0.359842824,0.640157082,0.497937758,0,0.377500635,0.124561607,24,0,0,4,16,10,15,4,21,0,29,20,2,14,0,11,12,15,12,9,0,14,2,0,10,0,2,0,10,0
400,RNA,RNA,RNA,3.98E-08,2.92E-12,0.996787101,0.003212859,0,0,1,0,9,0,0,5,6,5,10,1,8,0,16,4,1,6,0,3,3,6,5,3,0,13,0,0,0,0,0,0,0,0
401,RNA,DNA,nonDRNA,1.00E-07,1.31E-10,0.470225272,0.529774628,0.623140752,0,0.252684845,0.124174403,18,0,0,10,13,8,9,1,18,0,26,12,6,5,0,5,7,15,5,13,0,16,2,0,9,0,2,0,9,0
402,RNA,RNA,nonDRNA,1.42E-08,5.84E-13,0.996820192,0.003179794,0.62710474,0,0.124907355,0.247987906,16,0,1,3,7,2,10,1,0,0,7,16,3,2,0,9,13,11,7,4,0,5,4,0,2,0,4,0,2,0
403,RNA,RNA,nonDRNA,5.45E-06,2.31E-10,0.813455941,0.186538605,0.749575314,0,0.250424686,0,26,0,2,17,22,12,17,5,5,0,17,42,5,10,0,12,15,21,16,12,0,12,7,0,4,0,7,0,4,0
404,RNA,RNA,RNA,1.87E-06,3.89E-11,0.992935413,0.007062719,0.126286941,0,0.501499026,0.372214033,5,0,0,0,0,1,0,0,4,0,8,2,3,6,0,2,4,9,1,3,0,0,2,0,1,0,2,0,1,0
405,RNA,RNA,RNA,5.08E-08,6.64E-12,0.975070648,0.024929301,0,0,0.875490061,0.124509939,20,0,4,4,1,7,6,5,5,0,19,22,3,7,0,9,5,20,16,12,0,12,4,0,7,0,4,0,7,0
406,RNA,RNA,nonDRNA,4.11E-06,1.57E-10,0.853843289,0.146152601,0.747692277,0,0.252307723,0,16,0,3,7,14,9,16,8,11,0,14,38,8,6,0,28,19,18,9,12,0,20,0,0,6,0,0,0,6,0
407,RNA,RNA,nonDRNA,4.92E-08,6.58E-11,0.92565056,0.074349391,0.87459881,0,0,0.12540119,17,0,5,22,26,8,11,7,7,0,17,12,7,5,0,22,10,31,30,11,0,10,6,0,6,0,6,0,6,0
408,RNA,RNA,nonDRNA,3.76E-07,2.95E-08,0.585078026,0.414921568,0.876604567,0,0.123395433,0,24,0,4,29,35,24,37,7,28,0,37,43,9,18,0,10,19,18,27,22,0,30,2,0,14,0,2,0,14,0
409,RNA,DNA,nonDRNA,0.011537342,0.002835532,0.008218593,0.977408533,0.7489343,0,0.12694655,0.124119151,62,0,9,41,65,25,34,19,40,0,50,78,20,25,0,40,33,52,44,48,0,44,5,0,30,0,5,0,30,0
410,RNA,RNA,RNA,1.60E-06,3.49E-11,0.984614616,0.015383787,0.249227579,0,0.499313623,0.251458798,9,0,1,6,9,4,5,2,5,0,13,12,4,7,0,3,3,9,8,2,0,11,1,0,1,0,1,0,1,0
411,RNA,RNA,nonDRNA,2.36E-08,6.41E-12,0.984531348,0.015468628,0.625609323,0,0.374390677,0,22,0,0,19,39,4,23,5,7,0,14,13,1,5,0,8,7,21,15,12,0,23,1,0,2,0,1,0,2,0
412,RNA,RNA,nonDRNA,4.29E-07,3.37E-10,0.778092386,0.221907185,0.875853922,0.124146078,0,0,24,0,5,16,19,18,24,8,22,0,26,24,4,21,0,12,15,12,32,20,0,21,11,0,9,0,11,0,9,0
413,RNA,RNA,nonDRNA,2.23E-08,3.50E-12,0.986897267,0.013102711,0.873191937,0,0,0.126808063,20,0,0,28,24,5,14,2,9,0,6,20,7,9,0,9,4,15,5,13,0,20,0,0,2,0,0,0,2,0
414,RNA,RNA,RNA,1.40E-08,1.23E-12,0.996673534,0.003326452,0.497675304,0,0.502324696,0,14,0,7,9,12,1,10,3,7,0,16,12,3,4,0,2,4,5,3,2,0,14,1,0,3,0,1,0,3,0
415,RNA,DNA,RNA,9.48E-08,1.16E-10,0.488766524,0.511233381,0.124147199,0,0.875852801,0,16,0,1,6,9,6,14,5,7,0,27,23,5,7,0,9,6,22,3,8,0,19,2,0,8,0,2,0,8,0
416,RNA,RNA,nonDRNA,3.72E-08,4.94E-11,0.968827434,0.031172529,1,0,0,0,39,0,2,14,32,10,24,4,19,0,28,16,10,8,0,5,10,9,10,11,0,29,0,0,3,0,0,0,3,0
417,RNA,DNA,nonDRNA,5.69E-08,2.04E-10,0.074948186,0.925051757,0.873783966,0,0,0.126216034,19,0,4,17,17,17,11,8,22,0,30,28,11,24,0,10,13,11,18,18,0,23,4,0,12,0,4,0,12,0
418,RNA,RNA,RNA,1.26E-07,1.17E-10,0.851421997,0.148577877,0.125380066,0,0.874619934,0,10,0,0,4,9,4,13,1,7,0,10,9,4,3,0,3,7,19,7,5,0,10,0,0,5,0,0,0,5,0
419,RNA,RNA,RNA,4.37E-08,5.39E-12,0.987530169,0.012469788,0.248045104,0,0.751954896,0,5,0,0,4,10,5,10,5,7,0,16,14,8,2,0,8,7,15,8,6,0,9,0,0,6,0,0,0,6,0
420,RNA,RNA,nonDRNA,1.21E-07,1.17E-10,0.770948745,0.229051134,0.751739387,0,0.248260613,0,8,0,4,4,3,6,13,5,9,0,11,10,4,8,0,9,4,10,10,9,0,14,1,0,3,0,1,0,3,0
421,RNA,RNA,nonDRNA,1.66E-06,3.10E-11,0.984137649,0.015860687,0.625032258,0,0.374967742,0,6,0,2,5,9,2,6,3,12,0,13,7,3,2,0,7,2,10,7,12,0,10,1,0,0,0,1,0,0,0
422,RNA,RNA,RNA,4.85E-08,3.63E-12,0.994690071,0.00530988,0,0,1,0,7,0,0,2,1,2,10,4,2,0,6,10,3,2,0,6,6,13,6,4,0,6,4,0,1,0,4,0,1,0
423,RNA,RNA,RNA,1.05E-07,9.75E-11,0.621913468,0.378086427,0.374022795,0,0.625977205,0,14,0,0,8,7,5,14,6,6,0,15,13,4,4,0,15,8,12,9,12,0,16,1,0,5,0,1,0,5,0
424,RNA,RNA,RNA,1.01E-08,1.27E-12,0.99493959,0.0050604,0.24977394,0,0.75022606,0,6,0,2,6,9,2,8,7,11,0,18,15,4,6,0,14,7,12,8,9,0,11,3,0,3,0,3,0,3,0
425,RNA,RNA,RNA,1.64E-07,1.54E-10,0.846532821,0.153467015,0.249005156,0,0.750994844,0,5,0,2,5,4,6,13,4,8,0,10,15,4,8,0,7,1,17,4,1,0,6,5,0,3,0,5,0,3,0
426,RNA,RNA,nonDRNA,5.33E-06,2.75E-10,0.809218839,0.190775828,0.623883964,0,0.376116036,0,18,0,3,15,15,12,29,2,14,0,22,33,4,10,0,27,12,30,8,13,0,15,1,0,13,0,1,0,13,0
427,RNA,RNA,RNA,3.68E-08,4.31E-12,0.995150077,0.004849886,0.373524921,0,0.501606229,0.12486885,13,0,1,2,8,2,2,0,5,0,22,13,1,1,0,4,11,11,6,6,0,8,0,0,4,0,0,0,4,0
428,RNA,RNA,RNA,1.56E-08,5.73E-13,0.999041604,9.58E-04,0.372116471,0,0.503717349,0.124166181,2,0,4,1,2,4,5,3,3,0,4,2,1,4,0,1,2,8,4,1,0,2,1,0,2,0,1,0,2,0
429,RNA,RNA,RNA,3.91E-08,2.54E-12,0.997618127,0.002381834,0.123483748,0,0.754054918,0.122461334,9,0,1,3,5,5,13,3,4,0,11,3,1,3,0,1,1,8,5,3,0,6,0,0,0,0,0,0,0,0
430,RNA,RNA,RNA,4.04E-08,3.36E-12,0.996949822,0.003050138,0.247275393,0,0.752724607,0,11,0,0,3,3,4,14,3,2,0,6,4,1,3,0,4,3,10,4,3,0,10,0,0,0,0,0,0,0,0
431,RNA,RNA,RNA,4.17E-08,2.39E-12,0.997237539,0.002762419,0.123673396,0,0.749902812,0.126423792,5,0,0,4,2,4,13,2,1,0,7,7,2,3,0,2,4,12,2,3,0,10,0,0,2,0,0,0,2,0
432,RNA,RNA,RNA,4.11E-08,4.21E-12,0.996562128,0.003437831,0.247625491,0,0.629453367,0.122921142,9,0,0,4,3,5,15,2,4,0,12,4,2,4,0,1,3,5,5,3,0,9,0,0,1,0,0,0,1,0
433,RNA,RNA,RNA,1.15E-08,5.00E-13,0.99762442,0.002375569,0.375092639,0,0.624907361,0,22,0,0,6,6,2,11,5,6,0,7,9,1,5,0,2,3,16,5,5,0,14,0,0,2,0,0,0,2,0
434,RNA,RNA,nonDRNA,1.29E-07,1.47E-10,0.571834013,0.428165858,0.501097484,0,0.249363406,0.24953911,23,0,0,3,24,6,20,1,20,0,14,20,4,8,0,9,6,20,4,5,0,15,0,0,8,0,0,0,8,0
435,RNA,RNA,RNA,5.36E-08,9.89E-12,0.979661067,0.02033888,0.124394363,0,0.875605637,0,32,0,0,6,14,8,8,4,10,0,20,11,1,9,0,9,9,26,6,8,0,14,1,0,3,0,1,0,3,0
436,RNA,RNA,RNA,4.33E-08,3.88E-12,0.997818215,0.002181742,0.12369855,0,0.750176153,0.126125297,4,0,0,2,3,2,3,1,2,0,10,2,2,2,0,2,1,4,2,5,0,5,0,0,3,0,0,0,3,0
437,RNA,RNA,nonDRNA,2.57E-07,3.49E-11,0.79159749,0.208402253,0.873009852,0,0.126990148,0,19,0,10,19,29,14,20,7,29,0,18,23,8,12,0,10,10,15,21,14,0,22,1,0,4,0,1,0,4,0
438,RNA,RNA,nonDRNA,2.28E-06,5.23E-11,0.97121192,0.028785796,1,0,0,0,11,0,1,6,20,2,15,2,10,0,18,10,6,4,0,9,4,3,2,12,0,22,0,0,4,0,0,0,4,0
439,RNA,RNA,nonDRNA,4.40E-07,6.39E-09,0.713912279,0.286087275,1,0,0,0,28,0,1,24,37,12,39,12,21,0,20,27,12,11,0,23,9,27,7,31,0,52,2,0,11,0,2,0,11,0
440,RNA,RNA,RNA,1.68E-06,3.78E-11,0.993933637,0.006064685,0.123230667,0,0.628890842,0.247878491,3,0,0,1,4,2,3,2,4,0,12,3,1,1,0,2,1,3,2,5,0,4,0,0,2,0,0,0,2,0
441,RNA,RNA,RNA,1.32E-08,4.59E-13,0.999117995,8.82E-04,0.123706458,0,0.876293542,0,1,0,4,1,3,1,5,3,4,0,10,3,1,3,0,2,1,7,4,4,0,6,0,0,3,0,0,0,3,0
442,RNA,RNA,RNA,1.54E-06,3.71E-11,0.989117768,0.010880687,0.127349047,0,0.872650953,0,13,0,0,1,6,2,8,2,7,0,20,8,1,1,0,1,6,11,3,5,0,8,0,0,1,0,0,0,1,0
443,RNA,RNA,nonDRNA,1.48E-07,1.61E-10,0.929466177,0.070533675,0.383030889,0,0.369670061,0.24729905,6,0,0,3,5,3,7,5,5,0,4,7,2,7,0,4,9,4,14,5,0,9,0,0,3,0,0,0,3,0
444,RNA,RNA,RNA,1.53E-07,1.42E-10,0.92731635,0.072683497,0.499748613,0,0.500251387,0,5,0,3,3,7,2,4,1,6,0,6,5,6,5,0,2,3,15,1,4,0,3,1,0,5,0,1,0,5,0
445,RNA,RNA,RNA,1.55E-07,1.26E-10,0.976037738,0.023962106,0.37349096,0,0.62650904,0,6,0,4,1,3,0,2,4,1,0,8,3,2,0,0,9,0,5,2,3,0,5,0,0,2,0,0,0,2,0
446,RNA,RNA,nonDRNA,9.63E-08,9.36E-12,0.958509616,0.041490288,0.749401364,0,0.250598636,0,25,0,0,15,14,10,22,1,10,0,30,9,6,9,0,9,5,7,6,16,0,31,1,0,6,0,1,0,6,0
447,RNA,RNA,RNA,4.76E-08,3.12E-12,0.992165841,0.007834111,0.246510323,0,0.753489677,0,18,0,1,4,10,5,10,1,13,0,19,8,6,4,0,10,4,3,6,8,0,10,0,0,1,0,0,0,1,0
448,RNA,RNA,RNA,1.91E-06,3.57E-11,0.978532325,0.021465766,0.368667618,0,0.631332382,0,20,0,1,6,10,4,11,0,10,0,13,6,6,6,0,10,3,7,5,7,0,15,0,0,1,0,0,0,1,0
449,RNA,RNA,RNA,4.49E-08,2.81E-12,0.998397249,0.001602706,0.372891263,0,0.627108737,0,3,0,0,1,5,0,3,1,4,0,7,5,1,3,0,2,3,4,3,6,0,8,0,0,0,0,0,0,0,0
450,RNA,RNA,nonDRNA,1.59E-07,1.32E-10,0.976136336,0.023863505,0.75287353,0,0.24712647,0,4,0,4,1,4,2,5,1,7,0,6,5,2,1,0,5,1,4,2,3,0,6,0,0,0,0,0,0,0,0
451,RNA,RNA,RNA,1.83E-06,3.63E-11,0.984780859,0.015217314,0.362600625,0,0.637399375,0,18,0,1,4,18,1,6,1,11,0,15,8,3,1,0,8,2,4,3,4,0,12,0,0,3,0,0,0,3,0
452,RNA,RNA,RNA,1.18E-08,4.33E-13,0.997834075,0.002165913,0.243786821,0,0.756213179,0,18,0,1,4,18,1,6,1,11,0,14,8,3,1,0,8,2,5,3,4,0,12,0,0,3,0,0,0,3,0
453,RNA,RNA,nonDRNA,7.07E-08,4.81E-12,0.969950871,0.030049058,0.876651185,0,0.123348815,0,15,0,1,9,4,7,14,4,15,0,8,15,6,19,0,4,12,13,13,18,0,13,2,0,4,0,2,0,4,0
454,RNA,RNA,RNA,1.60E-06,2.99E-11,0.986448862,0.013549541,0.125903631,0,0.749636483,0.124459886,12,0,1,5,5,3,5,1,4,0,11,8,3,3,0,4,4,14,8,2,0,5,2,0,1,0,2,0,1,0
455,RNA,RNA,RNA,1.49E-08,4.57E-13,0.99910619,8.94E-04,0.12410647,0,0.87589353,0,2,0,0,2,2,1,2,3,5,0,15,2,1,9,0,3,1,7,7,2,0,2,0,0,0,0,0,0,0,0
456,RNA,RNA,nonDRNA,8.33E-07,1.43E-09,0.51550519,0.484493976,0.747555187,0,0.126893351,0.125551461,12,0,6,25,31,14,14,1,28,0,41,37,6,27,0,15,14,18,26,27,0,21,6,0,22,0,6,0,22,0
457,RNA,RNA,nonDRNA,8.01E-08,4.18E-12,0.979562672,0.020437248,0.748081365,0,0.127426057,0.124492579,30,0,0,9,26,1,17,5,11,0,6,21,1,9,0,12,9,10,7,19,0,21,0,0,1,0,0,0,1,0
458,RNA,RNA,RNA,1.59E-06,3.24E-11,0.993570766,0.006427648,0,0,1,0,4,0,0,0,2,1,5,1,0,0,11,4,2,3,0,5,2,7,3,4,0,7,0,0,2,0,0,0,2,0
459,RNA,DNA,nonDRNA,3.49E-04,1.30E-06,0.14319892,0.856450919,1,0,0,0,64,0,2,31,65,14,47,8,37,0,37,49,15,10,0,23,32,42,12,21,0,50,2,0,10,0,2,0,10,0
460,RNA,RNA,nonDRNA,1.33E-08,6.05E-13,0.997954105,0.002045882,0.619822382,0,0.380177618,0,5,0,0,2,8,5,4,2,6,0,7,9,3,6,0,2,6,3,9,5,0,6,0,0,4,0,0,0,4,0
461,RNA,RNA,nonDRNA,4.25E-08,4.00E-12,0.989494911,0.010505047,0.496887907,0,0.255444652,0.247667441,19,0,1,1,6,4,14,6,2,0,13,16,3,5,0,9,3,8,7,8,0,16,1,0,6,0,1,0,6,0
462,RNA,DNA,RNA,7.04E-08,1.22E-10,0.130543876,0.869456053,0.374295092,0,0.500996077,0.124708831,31,0,5,7,9,5,29,7,16,0,17,26,10,15,0,21,11,31,19,15,0,21,5,0,5,0,5,0,5,0
463,RNA,RNA,nonDRNA,4.89E-08,5.19E-12,0.98654023,0.013459721,0.873969478,0,0.126030522,0,33,0,1,6,15,6,9,1,5,0,12,15,6,3,0,5,3,12,6,9,0,15,0,0,3,0,0,0,3,0
464,RNA,RNA,nonDRNA,1.13E-07,1.02E-10,0.566965378,0.433034508,0.872918216,0,0.127081784,0,17,0,4,2,17,7,8,5,5,0,6,13,4,8,0,10,6,20,14,8,0,18,5,0,3,0,5,0,3,0
465,RNA,RNA,nonDRNA,6.12E-06,2.19E-10,0.785700596,0.214293279,0.499164435,0,0.376471569,0.124363996,28,0,4,7,9,3,30,7,17,0,18,29,9,14,0,20,10,29,21,16,0,25,5,0,5,0,5,0,5,0
466,RNA,RNA,DNA,4.30E-08,5.92E-12,0.988333031,0.011666926,0.124902843,0,0.374695872,0.500401285,13,0,1,4,0,5,6,3,7,0,21,14,3,7,0,6,5,11,27,12,0,11,0,0,3,0,0,0,3,0
467,RNA,RNA,nonDRNA,3.95E-08,2.05E-12,0.995860488,0.004139472,0.62477903,0,0.37522097,0,8,0,3,1,1,4,6,4,2,0,10,15,3,3,0,8,2,11,5,4,0,8,1,0,4,0,1,0,4,0
468,RNA,RNA,RNA,1.32E-08,2.13E-12,0.992955125,0.007044862,0.12475409,0,0.87524591,0,26,0,0,7,12,1,9,7,7,0,23,16,1,8,0,2,7,28,9,6,0,14,2,0,4,0,2,0,4,0
