seq,class,predicted class na夫e,predicted class knn,nondrna na夫e,rna na夫e,drna na夫e,dna na夫e,nondrna knn,rna knn,drna knn,dna knn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
1127.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,1,0,0,0,198.00,0.00,35.00,140.00,133.00,109.00,158.00,60.00,108.00,0.00,144.00,198.00,60.00,99.00,0.00,130.00,82.00,106.00,126.00,161.00,0.00,181.00,24.00,0.00,80.00,0.00
1128,nonDRNA,RNA,nonDRNA,9.14E-08,0.962027139,1.90E-11,0.03797277,1,0,0,0,20,0,1,20,20,7,17,1,30,0,18,19,7,9,0,10,4,8,5,9,0,19,1,0,4,0
1129,nonDRNA,RNA,nonDRNA,4.54E-08,0.994870937,5.75E-12,0.005129017,1,0,0,0,4,0,1,3,9,7,7,5,11,0,11,9,4,6,0,4,5,1,5,3,0,7,0,0,2,0
1130,nonDRNA,RNA,nonDRNA,4.38E-07,0.55162625,4.44E-10,0.448373312,0.79790312,0,0,0.20209688,29,0,7,27,27,17,34,4,30,0,27,32,14,13,0,16,5,25,29,19,0,24,3,0,10,0
1131,nonDRNA,RNA,nonDRNA,1.72E-07,0.832273871,7.45E-11,0.167725957,1,0,0,0,26,0,3,20,11,11,20,11,21,0,27,26,11,13,0,9,10,6,23,17,0,12,2,0,14,0
1132,nonDRNA,RNA,nonDRNA,8.03E-08,0.956023229,1.42E-11,0.043976691,1,0,0,0,24,0,2,14,17,13,23,5,19,0,13,28,8,6,0,10,6,8,11,10,0,15,1,0,1,0
1133,nonDRNA,RNA,nonDRNA,2.27E-07,0.879376865,1.07E-10,0.120622909,1,0,0,0,49,0,1,20,12,8,23,3,16,0,29,22,9,19,0,10,14,12,11,13,0,38,1,0,6,0
1134,nonDRNA,DNA,nonDRNA,1.14E-04,0.003068806,5.56E-05,0.996761788,1,0,0,0,71,0,8,47,48,24,50,11,37,0,57,66,17,34,0,35,24,36,59,47,0,50,6,0,20,0
1135,nonDRNA,DNA,nonDRNA,6.54E-07,0.3640975,1.18E-09,0.635901844,1,0,0,0,29,0,3,21,22,20,26,8,32,0,25,43,15,21,0,31,18,16,36,18,0,23,6,0,12,0
1136,nonDRNA,DNA,nonDRNA,4.26E-06,0.004981139,1.02E-07,0.995014494,0.797886892,0,0,0.202113108,29,0,16,29,51,16,33,15,25,0,17,58,15,13,0,51,29,29,43,32,0,36,11,0,17,0
1137,nonDRNA,RNA,nonDRNA,6.94E-08,0.96936712,1.46E-11,0.030632811,1,0,0,0,7,0,3,11,18,8,6,9,15,0,18,20,5,16,0,6,3,5,11,10,0,7,3,0,7,0
1138,nonDRNA,DNA,nonDRNA,6.41E-07,0.451682122,8.48E-10,0.548317236,1,0,0,0,49,0,5,24,41,13,44,5,26,0,26,37,10,16,0,12,8,20,24,23,0,28,4,0,12,0
1139,nonDRNA,RNA,nonDRNA,5.12E-07,0.828353669,5.78E-10,0.171645818,1,0,0,0,13,0,1,12,20,19,28,5,45,0,28,46,15,14,0,12,2,9,18,10,0,29,1,0,12,0
1140,nonDRNA,RNA,nonDRNA,6.79E-08,0.986783484,1.29E-11,0.013216448,1,0,0,0,3,0,4,11,6,8,6,2,19,0,17,12,4,14,0,2,3,3,6,7,0,4,2,0,12,0
1141,nonDRNA,DNA,nonDRNA,1.33E-05,0.002596982,5.36E-07,0.997389163,1,0,0,0,23,0,17,27,26,21,40,5,55,0,39,49,11,45,0,36,25,22,51,37,0,41,7,0,25,0
1142,nonDRNA,RNA,nonDRNA,5.12E-08,0.991307093,6.15E-12,0.008692856,1,0,0,0,10,0,3,11,7,5,24,9,9,0,8,9,1,6,0,6,6,4,12,8,0,16,0,0,0,0
1143,nonDRNA,RNA,nonDRNA,9.83E-08,0.926965387,1.91E-11,0.073034515,0.796522121,0.203477879,0,0,16,0,4,15,6,10,20,8,17,0,9,18,5,17,0,22,9,17,12,10,0,11,4,0,9,0
1144,nonDRNA,RNA,nonDRNA,9.23E-08,0.938782492,1.42E-11,0.061217415,1,0,0,0,16,0,3,10,10,6,20,8,8,0,11,25,5,3,0,12,15,21,23,11,0,23,7,0,4,0
1145,nonDRNA,RNA,nonDRNA,2.79E-07,0.728345658,1.51E-10,0.271654063,0.785515949,0.214484051,0,0,21,0,8,18,21,12,15,4,17,0,25,32,8,17,0,16,18,16,27,18,0,21,9,0,8,0
1146,nonDRNA,RNA,nonDRNA,1.53E-07,0.882706102,2.92E-11,0.117293745,1,0,0,0,21,0,8,17,17,6,21,8,15,0,14,42,6,7,0,14,11,10,9,9,0,23,5,0,8,0
1147,nonDRNA,RNA,nonDRNA,1.49E-07,0.818572587,4.19E-11,0.181427264,1,0,0,0,24,0,4,14,16,11,22,13,11,0,13,40,9,9,0,20,10,14,23,13,0,26,2,0,9,0
1148,nonDRNA,DNA,nonDRNA,4.48E-06,0.004201933,4.02E-07,0.995793183,1,0,0,0,52,0,6,35,56,21,45,11,15,0,40,44,7,16,0,60,32,44,62,29,0,40,6,0,12,0
1149,nonDRNA,RNA,nonDRNA,2.24E-07,0.823969453,1.52E-10,0.176030323,1,0,0,0,28,0,0,17,43,10,16,2,26,0,31,39,9,8,0,13,13,23,14,12,0,28,0,0,3,0
1150,nonDRNA,RNA,nonDRNA,5.81E-07,0.962264049,3.01E-10,0.037735369,1,0,0,0,28,0,3,21,12,9,30,5,7,0,8,14,9,10,0,22,9,19,16,13,0,15,17,0,10,0
1151,nonDRNA,RNA,nonDRNA,3.64E-07,0.525949126,3.26E-10,0.47405051,0.79509124,0.20490876,0,0,22,0,5,31,26,17,32,13,14,0,21,42,11,16,0,20,13,21,22,17,0,25,4,0,9,0
1152,nonDRNA,RNA,nonDRNA,3.35E-07,0.750364115,1.62E-10,0.24963555,1,0,0,0,43,0,1,24,18,13,26,7,6,0,10,40,7,8,0,26,18,29,9,21,0,37,0,0,8,0
1153.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,0.803788204,0.196211796,0,0,65.00,0.00,3.00,63.00,42.00,45.00,107.00,9.00,62.00,0.00,57.00,69.00,24.00,83.00,0.00,36.00,40.00,42.00,74.00,78.00,0.00,64.00,20.00,0.00,58.00,0.00
1154,nonDRNA,RNA,nonDRNA,1.67E-07,0.800141408,4.56E-11,0.199858425,1,0,0,0,16,0,7,23,20,13,25,10,16,0,15,24,8,5,0,19,10,15,18,15,0,24,4,0,9,0
1155.00,nonDRNA,DRNA,DNA,0.00,0.00,1.00,0.00,0.402630768,0,0,0.597369232,76.00,0.00,16.00,56.00,72.00,46.00,78.00,24.00,38.00,0.00,44.00,133.00,21.00,37.00,0.00,54.00,40.00,79.00,62.00,53.00,0.00,79.00,16.00,0.00,33.00,0.00
1156,nonDRNA,RNA,nonDRNA,2.52E-07,0.779467647,9.99E-11,0.220532101,1,0,0,0,26,0,4,20,16,13,24,4,20,0,12,36,7,14,0,24,16,21,23,16,0,14,9,0,8,0
1157,nonDRNA,RNA,nonDRNA,3.90E-08,0.992099706,4.05E-12,0.007900255,1,0,0,0,11,0,0,9,8,3,15,3,7,0,11,12,1,7,0,7,6,12,10,2,0,14,1,0,5,0
1158,nonDRNA,RNA,nonDRNA,1.40E-07,0.841563619,4.33E-11,0.158436241,1,0,0,0,34,0,4,14,30,10,19,10,20,0,12,25,10,13,0,15,6,20,15,15,0,22,2,0,6,0
1159,nonDRNA,RNA,nonDRNA,1.01E-07,0.943444022,1.29E-11,0.056555876,1,0,0,0,15,0,7,9,8,5,23,6,12,0,7,22,4,5,0,11,7,14,18,21,0,14,2,0,16,0
1160,nonDRNA,RNA,nonDRNA,1.04E-07,0.950249779,2.91E-11,0.049750117,1,0,0,0,10,0,7,17,13,15,14,8,16,0,24,23,2,13,0,9,1,6,12,10,0,18,1,0,12,0
1161.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,1,0,0,0,45.00,0.00,6.00,81.00,71.00,72.00,60.00,10.00,128.00,0.00,84.00,94.00,24.00,150.00,0.00,45.00,34.00,51.00,98.00,79.00,0.00,70.00,14.00,0.00,75.00,0.00
1162.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,0.792385538,0,0,0.207614462,72.00,0.00,6.00,65.00,90.00,64.00,60.00,26.00,73.00,0.00,99.00,99.00,23.00,68.00,0.00,54.00,39.00,55.00,109.00,66.00,0.00,74.00,17.00,0.00,39.00,0.00
1163,nonDRNA,DNA,nonDRNA,8.75E-07,0.495929085,1.38E-09,0.504070038,1,0,0,0,19,0,1,26,37,16,29,11,38,0,38,37,7,12,0,19,1,13,21,18,0,30,7,0,18,0
1164.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,0.804217024,0.195782976,0,0,112.00,0.00,14.00,64.00,91.00,34.00,83.00,15.00,71.00,0.00,56.00,83.00,31.00,36.00,0.00,44.00,35.00,69.00,46.00,60.00,0.00,94.00,4.00,0.00,31.00,0.00
1165,nonDRNA,RNA,nonDRNA,7.42E-08,0.970373593,1.60E-11,0.029626333,0.804054549,0.195945451,0,0,6,0,1,14,17,11,2,5,10,0,16,23,2,12,0,6,6,7,15,9,0,9,3,0,15,0
1166,nonDRNA,RNA,nonDRNA,1.20E-07,0.903756571,2.40E-11,0.096243308,1,0,0,0,19,0,4,18,11,6,18,4,11,0,14,42,10,7,0,13,14,10,14,12,0,19,4,0,14,0
1167,nonDRNA,DNA,nonDRNA,2.44E-05,0.035287355,9.55E-07,0.964687312,0.801802456,0,0,0.198197544,70,0,2,48,36,16,73,13,25,0,15,50,13,18,0,34,18,40,39,32,0,49,9,0,15,0
1168,nonDRNA,DNA,nonDRNA,2.98E-06,0.244809487,6.88E-09,0.755187526,1,0,0,0,71,0,6,39,29,17,41,11,14,0,6,32,11,8,0,25,5,39,36,28,0,36,4,0,9,0
1169,nonDRNA,RNA,nonDRNA,4.86E-08,0.998286326,3.17E-12,0.001713625,1,0,0,0,7,0,4,4,7,0,4,1,3,0,0,9,1,0,0,6,1,4,0,1,0,3,0,0,1,0
1170,nonDRNA,DNA,nonDRNA,1.34E-06,0.278896555,3.98E-09,0.7211021,1,0,0,0,20,0,6,26,24,22,37,7,34,0,37,50,7,23,0,27,5,19,49,23,0,31,0,0,17,0
1171,nonDRNA,RNA,nonDRNA,1.37E-07,0.908671165,3.04E-11,0.091328697,1,0,0,0,25,0,1,20,5,11,38,3,19,0,11,15,4,13,0,15,9,9,21,19,0,22,3,0,9,0
1172,nonDRNA,RNA,nonDRNA,4.47E-08,0.993194098,4.11E-12,0.006805857,1,0,0,0,10,0,3,5,2,4,9,3,6,0,3,11,4,9,0,7,6,4,9,6,0,8,1,0,5,0
1173,nonDRNA,DNA,nonDRNA,3.66E-06,0.205149037,2.51E-08,0.794847278,1,0,0,0,28,0,9,32,35,20,42,17,33,0,36,30,17,19,0,20,12,21,15,25,0,34,10,0,19,0
1174.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,0.80412267,0,0,0.19587733,93.00,0.00,20.00,85.00,126.00,52.00,103.00,40.00,64.00,0.00,126.00,128.00,27.00,53.00,0.00,71.00,85.00,92.00,122.00,72.00,0.00,80.00,17.00,0.00,37.00,0.00
1175,nonDRNA,RNA,nonDRNA,6.47E-08,0.993103549,6.74E-12,0.006896386,1,0,0,0,2,0,6,12,9,4,8,3,7,0,1,10,2,6,0,3,10,2,10,7,0,2,3,0,1,0
1176,nonDRNA,RNA,nonDRNA,2.16E-07,0.761101669,1.40E-10,0.238898116,0.800271054,0,0,0.199728946,21,0,5,18,18,18,18,8,27,0,28,30,11,21,0,17,11,12,21,19,0,21,2,0,7,0
1177,nonDRNA,nonDRNA,nonDRNA,1,0,0,0,0.809440618,0.190559382,0,0,45,0,14,33,36,18,57,14,34,0,47,50,10,21,0,23,18,17,35,43,0,53,6,1,23,0
1178,nonDRNA,DNA,nonDRNA,8.04E-06,0.0174866,1.93E-07,0.982505166,1,0,0,0,45,0,13,40,47,32,36,12,22,0,27,57,12,11,0,42,23,35,36,26,0,30,10,0,19,0
1179,nonDRNA,DNA,nonDRNA,2.05E-06,0.123201634,4.28E-09,0.876796309,0.798652114,0,0,0.201347886,11,0,18,18,28,28,20,7,13,0,40,40,8,28,0,9,7,15,25,13,0,18,4,0,20,0
1180.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,1,0,0,0,45.00,0.00,32.00,58.00,76.00,44.00,49.00,30.00,71.00,0.00,72.00,126.00,39.00,56.00,0.00,51.00,48.00,59.00,58.00,40.00,0.00,56.00,19.00,0.00,39.00,0.00
1181,nonDRNA,RNA,nonDRNA,5.37E-08,0.976828191,8.21E-12,0.023171755,1,0,0,0,11,0,1,9,13,7,12,3,18,0,14,13,5,6,0,4,10,5,19,9,0,16,1,0,8,0
1182,nonDRNA,RNA,nonDRNA,5.40E-08,0.975852931,8.29E-12,0.024147015,0.801556365,0,0,0.198443635,11,0,1,9,13,7,12,3,17,0,14,13,6,6,0,4,10,5,19,9,0,16,1,0,8,0
1183,nonDRNA,DNA,nonDRNA,8.43E-04,0.403915758,4.52E-05,0.59519595,0.792590415,0,0,0.207409585,51,0,6,27,7,16,46,6,21,0,10,37,8,37,0,46,28,23,54,52,0,43,22,0,22,0
1184,nonDRNA,RNA,nonDRNA,4.81E-08,0.984128887,7.56E-12,0.015871065,1,0,0,0,3,0,2,3,16,11,10,7,10,0,13,13,6,8,0,10,3,11,16,5,0,10,1,0,4,0
1185,nonDRNA,RNA,nonDRNA,2.07E-07,0.833259352,6.61E-11,0.166740441,0.803494972,0,0,0.196505028,27,0,5,20,17,10,23,10,21,0,15,24,9,12,0,20,8,15,6,24,0,39,2,0,7,0
1186,nonDRNA,RNA,RNA,2.50E-07,0.860693118,6.58E-11,0.139306632,0.185778431,0.814221569,0,0,30,0,5,25,14,6,21,7,19,0,10,25,3,14,0,11,9,4,27,22,0,12,6,0,17,0
1187,nonDRNA,RNA,nonDRNA,7.13E-08,0.964587191,1.02E-11,0.035412737,0.815459456,0.184540544,0,0,10,0,2,11,30,5,18,5,6,0,3,20,3,9,0,19,8,20,11,7,0,17,3,0,6,0
1188,nonDRNA,RNA,nonDRNA,4.28E-08,0.99535412,4.32E-12,0.004645838,1,0,0,0,3,0,0,7,3,6,6,6,5,0,13,4,2,2,0,5,2,8,4,7,0,9,1,0,0,0
1189,nonDRNA,RNA,nonDRNA,9.98E-08,0.940837814,2.94E-11,0.059162086,1,0,0,0,12,0,0,11,27,8,11,0,29,0,17,29,6,14,0,9,4,21,22,6,0,12,1,0,9,0
1190,nonDRNA,DNA,nonDRNA,7.22E-07,0.389827159,4.32E-10,0.610172119,0.800128675,0.199871325,0,0,32,0,10,19,19,10,25,19,14,0,5,51,6,6,0,26,19,26,24,17,0,20,8,0,9,0
1191.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,1,0,0,0,48.00,0.00,7.00,86.00,66.00,58.00,95.00,21.00,85.00,0.00,59.00,73.00,26.00,47.00,0.00,51.00,15.00,77.00,73.00,55.00,0.00,64.00,10.00,0.00,55.00,0.00
1192,nonDRNA,RNA,nonDRNA,1.10E-07,0.888523162,2.54E-11,0.111476728,1,0,0,0,13,0,4,18,22,8,21,9,17,0,10,26,4,10,0,14,13,22,15,14,0,16,5,0,10,0
1193,nonDRNA,DNA,nonDRNA,0.022278733,0.003180353,0.234467216,0.740073698,0.799350818,0.200649182,0,0,38,0,4,53,51,41,58,17,32,0,39,57,12,40,0,37,41,58,63,74,0,53,13,0,28,0
1194,nonDRNA,DNA,nonDRNA,2.93E-06,0.258855803,1.74E-08,0.741141248,1,0,0,0,25,0,2,34,41,16,34,9,38,0,42,40,12,20,0,23,10,24,20,19,0,39,10,0,22,0
1195,nonDRNA,DNA,nonDRNA,6.03E-04,2.72E-05,0.01089876,0.988470831,1,0,0,0,52,0,16,37,62,26,34,18,40,0,59,83,16,31,0,52,49,62,71,50,0,58,9,0,15,0
1196,nonDRNA,RNA,nonDRNA,1.30E-06,0.852722706,1.43E-09,0.147275988,1,0,0,0,24,0,4,27,12,10,30,14,16,0,21,33,5,11,0,16,13,16,27,16,0,18,16,0,18,0
1197,nonDRNA,RNA,nonDRNA,6.61E-08,0.959207744,1.23E-11,0.040792189,0.799178269,0,0,0.200821731,24,0,2,17,22,9,14,3,14,0,19,35,1,9,0,8,5,15,9,12,0,16,2,0,6,0
1198,nonDRNA,DNA,nonDRNA,6.76E-06,0.440471463,2.16E-08,0.559521753,1,0,0,0,79,0,1,37,28,17,42,10,14,0,6,33,4,13,0,23,19,24,28,49,0,31,0,0,15,0
1199,nonDRNA,RNA,nonDRNA,5.25E-08,0.981263822,7.22E-12,0.018736125,1,0,0,0,17,0,4,7,17,6,12,6,15,0,9,13,7,8,0,5,10,10,7,6,0,7,1,0,4,0
1200.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,0.71,0.29,1,0,0,0,38.00,0.00,46.00,54.00,57.00,31.00,84.00,25.00,51.00,0.00,61.00,71.00,15.00,44.00,0.00,39.00,31.00,48.00,76.00,51.00,0.00,46.00,9.00,0.00,29.00,0.00
1201,nonDRNA,RNA,nonDRNA,7.47E-08,0.979023074,7.16E-12,0.020976851,1,0,0,0,19,0,9,6,15,3,15,4,10,0,3,14,6,4,0,6,7,13,10,11,0,11,0,0,2,0
1202,nonDRNA,RNA,nonDRNA,5.94E-08,0.974150244,7.13E-12,0.025849697,1,0,0,0,13,0,7,12,9,6,11,2,10,0,17,21,3,6,0,14,5,9,7,13,0,17,2,0,8,0
1203,nonDRNA,RNA,nonDRNA,8.73E-08,0.955757828,2.32E-11,0.044242084,1,0,0,0,21,0,2,18,12,8,22,5,30,0,22,17,7,11,0,3,8,9,10,11,0,19,0,0,5,0
1204,nonDRNA,DNA,nonDRNA,1.27E-05,0.019661976,1.00E-06,0.980324276,1,0,0,0,57,0,8,42,52,25,51,12,30,0,39,53,10,23,0,25,30,45,34,43,0,48,2,0,14,0
1205,nonDRNA,RNA,nonDRNA,4.28E-07,0.708818346,2.83E-10,0.291181226,1,0,0,0,44,0,6,22,28,10,36,8,19,0,12,19,13,13,0,11,11,24,22,22,0,42,1,0,7,0
1206,nonDRNA,DNA,nonDRNA,1.63E-06,0.277269362,4.78E-09,0.722728999,1,0,0,0,47,0,6,35,20,15,30,10,32,0,24,39,14,24,0,20,22,12,27,34,0,38,2,0,17,0
1207,nonDRNA,RNA,nonDRNA,5.22E-08,0.986135362,5.07E-12,0.013864586,1,0,0,0,23,0,2,10,7,2,11,0,10,0,8,15,5,5,0,4,4,8,12,12,0,11,0,0,12,0
1208,nonDRNA,RNA,nonDRNA,1.56E-07,0.918397001,4.06E-11,0.081602843,1,0,0,0,9,0,9,9,14,8,17,6,11,0,17,20,10,15,0,4,10,12,14,12,0,14,8,0,10,0
1209,nonDRNA,RNA,nonDRNA,5.15E-08,0.988963867,5.66E-12,0.011036081,1,0,0,0,21,0,4,10,8,9,17,2,8,0,5,14,2,7,0,10,6,3,10,8,0,5,0,0,6,0
1210,nonDRNA,RNA,nonDRNA,5.93E-08,0.981245176,6.11E-12,0.018754764,1,0,0,0,13,0,1,11,17,3,8,8,8,0,5,23,6,3,0,5,9,11,4,7,0,4,2,0,6,0
1211,nonDRNA,RNA,nonDRNA,3.43E-07,0.726951704,1.69E-10,0.273047953,1,0,0,0,33,0,2,26,20,18,20,11,19,0,10,35,8,13,0,22,13,25,9,14,0,12,8,0,9,0
1212,nonDRNA,RNA,nonDRNA,1.39E-07,0.911874784,2.44E-11,0.088125077,1,0,0,0,22,0,10,12,18,3,23,3,20,0,14,18,8,7,0,11,11,10,11,14,0,20,1,0,11,0
1213,nonDRNA,DNA,nonDRNA,1.57E-06,0.390816095,2.26E-09,0.609182332,1,0,0,0,55,0,4,17,12,15,38,10,4,0,8,51,6,20,0,24,25,27,34,15,0,22,6,0,25,0
1214,nonDRNA,RNA,nonDRNA,3.98E-08,0.99222382,3.66E-12,0.00777614,1,0,0,0,13,0,1,6,5,4,10,4,6,0,13,10,3,3,0,6,4,6,6,8,0,8,1,0,6,0
1215,nonDRNA,DNA,nonDRNA,6.80E-04,0.289242654,1.10E-04,0.709966729,1,0,0,0,50,0,6,40,24,21,69,17,22,0,38,48,22,31,0,30,18,19,22,38,0,40,19,0,27,0
1216,nonDRNA,RNA,nonDRNA,3.76E-08,0.994655203,4.27E-12,0.005344759,0.603627243,0,0,0.396372757,5,0,5,7,6,2,7,2,9,0,17,14,1,5,0,6,7,10,8,9,0,5,0,0,3,0
1217,nonDRNA,DNA,nonDRNA,1.38E-06,0.066169373,4.11E-09,0.93382924,1,0,0,0,46,0,16,25,30,10,42,9,36,0,27,39,6,18,0,30,16,31,33,19,0,40,0,0,7,0
1218,nonDRNA,RNA,nonDRNA,7.49E-08,0.948356701,1.77E-11,0.051643224,1,0,0,0,15,0,3,19,22,12,17,1,7,0,20,30,9,11,0,7,6,14,10,8,0,17,2,0,7,0
1219,nonDRNA,DNA,nonDRNA,9.10E-07,0.30894042,2.91E-09,0.691058666,1,0,0,0,22,0,4,26,32,19,26,14,34,0,38,47,10,23,0,18,21,12,21,23,0,31,2,0,18,0
1220,nonDRNA,RNA,nonDRNA,5.68E-08,0.984207997,5.77E-12,0.015791946,1,0,0,0,17,0,2,9,9,4,12,4,6,0,14,12,6,5,0,5,3,8,3,11,0,8,6,0,6,0
1221,nonDRNA,RNA,nonDRNA,2.52E-07,0.75550318,1.04E-10,0.244496568,1,0,0,0,28,0,0,20,21,15,23,9,15,0,21,28,7,8,0,18,12,11,18,17,0,22,4,0,21,0
1222,nonDRNA,RNA,nonDRNA,2.46E-05,0.766932712,2.21E-07,0.233042503,1,0,0,0,22,0,4,25,20,26,39,12,21,0,18,36,4,38,0,18,26,14,26,20,0,31,20,0,18,0
1223.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,1,0,0,0,103.00,0.00,7.00,45.00,86.00,37.00,55.00,10.00,76.00,0.00,53.00,94.00,15.00,47.00,0.00,22.00,105.00,50.00,71.00,81.00,0.00,97.00,21.00,0.00,27.00,0.00
1224,nonDRNA,DNA,nonDRNA,5.64E-06,0.253355983,2.06E-08,0.746638361,1,0,0,0,80,0,7,30,26,13,45,12,22,0,8,36,12,10,0,32,17,38,14,25,0,37,9,0,7,0
1225,nonDRNA,DNA,nonDRNA,1.81E-06,0.056527457,1.32E-08,0.943470718,1,0,0,0,39,0,11,19,29,25,45,11,31,0,34,48,14,22,0,31,17,30,44,29,0,36,6,0,12,0
1226,nonDRNA,DNA,nonDRNA,0.006525985,0.00109637,0.033138416,0.959239229,1,0,0,0,70,0,0,38,45,21,71,10,44,0,53,70,20,46,0,28,39,33,82,58,0,47,8,0,38,0
1227,nonDRNA,RNA,nonDRNA,1.42E-07,0.815922494,4.50E-11,0.184077364,0.797376974,0,0,0.202623026,31,0,4,13,17,8,22,9,17,0,13,34,10,9,0,13,20,19,22,19,0,25,1,0,9,0
1228,nonDRNA,RNA,nonDRNA,8.99E-08,0.923676553,1.65E-11,0.076323357,1,0,0,0,29,0,5,13,21,6,26,6,13,0,13,19,8,10,0,9,8,11,14,14,0,23,2,0,9,0
1229,nonDRNA,RNA,nonDRNA,8.54E-08,0.925811167,1.67E-11,0.074188747,1,0,0,0,15,0,7,6,10,10,21,7,12,0,21,25,5,7,0,17,15,13,14,16,0,16,3,0,6,0
1230,nonDRNA,RNA,nonDRNA,4.55E-07,0.762702096,1.54E-10,0.237297449,1,0,0,0,64,0,4,13,21,6,33,9,15,0,6,41,11,5,0,22,7,20,17,22,0,25,2,0,8,0
1231,nonDRNA,RNA,RNA,1.67E-07,0.948433777,4.74E-11,0.051566055,0.400060226,0.401822686,0,0.198117088,14,0,5,8,8,18,13,3,13,0,3,23,17,13,0,15,13,13,9,10,0,6,6,0,10,0
1232,nonDRNA,RNA,nonDRNA,5.67E-07,0.579333905,4.40E-10,0.420665527,1,0,0,0,51,0,1,12,18,13,37,9,13,0,17,38,12,12,0,21,19,13,26,22,0,24,3,0,21,0
1233,nonDRNA,DNA,nonDRNA,1.21E-06,0.207326947,3.73E-09,0.792671836,1,0,0,0,48,0,2,26,34,14,33,16,25,0,14,59,11,13,0,25,25,39,20,26,0,27,7,0,5,0
1234,nonDRNA,RNA,nonDRNA,4.77E-08,0.997234362,3.70E-12,0.00276559,0.801828235,0.198171765,0,0,3,0,6,3,4,1,3,0,3,0,4,12,1,2,0,3,3,10,4,3,0,2,1,0,4,0
1235,nonDRNA,DNA,nonDRNA,6.99E-07,0.346831516,1.08E-09,0.653167784,1,0,0,0,31,0,1,28,31,12,29,13,29,0,17,37,11,12,0,18,14,34,35,24,0,46,3,0,10,0
1236,nonDRNA,RNA,nonDRNA,1.26E-07,0.911098489,3.44E-11,0.088901385,0.797436125,0,0,0.202563875,20,0,2,19,17,7,14,7,13,0,21,21,7,18,0,14,9,10,20,17,0,9,8,0,6,0
1237,nonDRNA,RNA,nonDRNA,7.04E-08,0.972281026,7.32E-12,0.027718903,1,0,0,0,6,0,0,13,10,5,8,7,10,0,4,17,8,2,0,11,8,10,20,9,0,6,4,0,5,0
1238,nonDRNA,DNA,nonDRNA,6.05E-07,0.301448951,3.75E-10,0.698550443,0.802882029,0,0,0.197117971,43,0,14,19,17,13,30,9,24,0,21,23,10,11,0,21,12,19,23,21,0,18,6,0,13,0
1239.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,1,0,0,0,50.00,0.00,2.00,50.00,43.00,50.00,98.00,3.00,51.00,0.00,48.00,66.00,30.00,87.00,0.00,41.00,34.00,37.00,93.00,67.00,0.00,63.00,15.00,0.00,56.00,0.00
1240,nonDRNA,RNA,nonDRNA,8.81E-08,0.968685441,1.03E-11,0.031314471,1,0,0,0,17,0,2,11,15,7,11,7,11,0,1,18,5,3,0,10,14,15,11,8,0,13,8,0,3,0
1241,nonDRNA,RNA,nonDRNA,2.84E-07,0.866269994,5.47E-11,0.133729723,1,0,0,0,41,0,10,20,15,5,29,7,21,0,9,22,7,8,0,12,6,20,4,8,0,21,6,0,3,0
1242,nonDRNA,DNA,nonDRNA,3.89E-04,0.004105053,2.16E-04,0.995290219,1,0,0,0,66,0,4,41,41,31,65,14,29,0,17,83,5,24,0,50,30,44,63,40,0,55,10,0,28,0
1243,nonDRNA,RNA,nonDRNA,3.35E-07,0.947630782,1.25E-10,0.052368883,0.413602725,0.394943239,0,0.191454036,19,0,2,3,11,13,20,6,14,0,14,34,11,7,0,5,8,7,16,12,0,35,13,0,13,0
1244,nonDRNA,RNA,nonDRNA,2.62E-07,0.785499931,1.07E-10,0.214499807,1,0,0,0,27,0,7,22,16,11,16,9,18,0,22,26,8,15,0,20,11,13,13,16,0,23,9,0,11,0
1245,nonDRNA,DNA,nonDRNA,3.05E-05,0.068668637,7.11E-07,0.931300182,0.798465804,0,0,0.201534196,39,0,13,37,36,19,43,10,22,0,36,36,11,26,0,40,15,22,33,41,0,34,16,0,25,0
1246,nonDRNA,DNA,nonDRNA,0.012429027,5.24E-05,0.383534708,0.60398386,1,0,0,0,40,0,18,56,63,45,57,14,73,0,66,86,16,46,0,19,36,42,46,42,0,46,5,0,30,0
1247,nonDRNA,RNA,nonDRNA,5.44E-08,0.998003416,4.27E-12,0.00199653,1,0,0,0,4,0,0,2,1,6,2,0,3,0,1,7,1,1,0,3,0,2,2,2,0,3,1,0,1,0
1248,nonDRNA,DNA,nonDRNA,1.18E-06,0.149111932,2.56E-09,0.850886889,1,0,0,0,37,0,12,27,38,20,37,13,26,0,19,31,10,16,0,20,15,21,22,30,0,34,4,0,19,0
