Feature,[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G9.1],[G9.2],[G9.3]
seq7586,0.028276,0.021207,0.021207,0.014138,0.007069,0.021207,0.042414,0.063620,0.007069,0.049483,0.042414,0.028276,0.021207,0.014138,0.021207,0.042414,0.035345,0.000000,0.035345,0.049483,0.014494,0.016134,0.016038,0.013785,0.012340,0.013836,0.014816,0.017646,0.015726,0.013630,0.014476,0.014777,0.013751,0.014038,0.014805,0.011997,0.014700,0.014806,0.014288,0.012363,0.014094,0.016222,0.014310,0.014828,0.014408,0.015699,0.014178,0.013227,0.014746,0.014324,0.049477,0.037108,0.037108,0.024739,0.012369,0.037108,0.074216,0.111324,0.012369,0.086585,0.074216,0.049477,0.037108,0.024739,0.037108,0.074216,0.061847,0.000000,0.061847,0.086585,0.000430,0.000299,0.000350,0.000306,0.000353,0.000284,0.000350,0.000260,0.000421,0.000302,0.000345,0.000314,0.000335,0.000305,0.000401,0.000315,0.000331,0.000361,0.000319,0.000361,0.000369,0.000377,0.000350,0.000364,0.000409,0.000342,0.000325,0.000429,0.000365,0.000382,0.023994,0.017995,0.017995,0.011997,0.005998,0.017995,0.035991,0.053986,0.005998,0.041989,0.035991,0.023994,0.017995,0.011997,0.017995,0.035991,0.029992,0.000000,0.029992,0.041989,0.019434,0.020233,0.018666,0.014720,0.015237,0.016854,0.016529,0.022233,0.017523,0.015142,0.015346,0.019390,0.017476,0.014643,0.019676,0.014068,0.018449,0.019414,0.017480,0.013086,0.015300,0.021875,0.016167,0.016041,0.015989,0.020694,0.016238,0.018601,0.016643,0.016976,34.4197531,27.3245283,26.0177305
seq7587,0.088893,0.044447,0.022223,0.029631,0.000000,0.022223,0.029631,0.037039,0.014816,0.022223,0.059262,0.000000,0.014816,0.007408,0.074078,0.029631,0.037039,0.000000,0.014816,0.044447,0.014210,0.014330,0.013792,0.012017,0.014837,0.012357,0.011371,0.013697,0.013421,0.012842,0.015450,0.015178,0.012957,0.012538,0.014421,0.012818,0.015064,0.013091,0.014436,0.012161,0.012161,0.013702,0.011942,0.014427,0.016123,0.013134,0.013098,0.015068,0.014569,0.012162,0.148825,0.074412,0.037206,0.049608,0.000000,0.037206,0.049608,0.062010,0.024804,0.037206,0.099216,0.000000,0.024804,0.012402,0.124021,0.049608,0.062010,0.000000,0.024804,0.074412,0.000247,0.000281,0.000320,0.000281,0.000216,0.000299,0.000227,0.000277,0.000244,0.000224,0.000282,0.000278,0.000320,0.000328,0.000229,0.000222,0.000181,0.000289,0.000350,0.000262,0.000258,0.000233,0.000291,0.000264,0.000188,0.000216,0.000253,0.000291,0.000266,0.000221,0.076990,0.038495,0.019248,0.025663,0.000000,0.019248,0.025663,0.032079,0.012832,0.019248,0.051327,0.000000,0.012832,0.006416,0.064159,0.025663,0.032079,0.000000,0.012832,0.038495,0.017400,0.015982,0.017350,0.015029,0.018103,0.014011,0.015305,0.018214,0.017208,0.016750,0.018531,0.019395,0.017023,0.015419,0.017548,0.016061,0.017834,0.014714,0.014926,0.014900,0.012407,0.016206,0.013611,0.015615,0.019261,0.015690,0.013759,0.018589,0.016185,0.013703,38.4074074,26.9056604,27.5567376
seq7588,0.014597,0.036492,0.014597,0.029193,0.029193,0.007298,0.036492,0.087580,0.029193,0.029193,0.021895,0.014597,0.029193,0.036492,0.007298,0.036492,0.051089,0.007298,0.014597,0.051089,0.013012,0.014767,0.010057,0.013663,0.012927,0.012650,0.014702,0.013608,0.013417,0.013155,0.013639,0.016059,0.014945,0.014551,0.016578,0.014588,0.014400,0.017664,0.015001,0.012808,0.015827,0.013309,0.015192,0.013786,0.011192,0.013033,0.013228,0.014761,0.014065,0.009546,0.024707,0.061766,0.024707,0.049413,0.049413,0.012353,0.061766,0.148239,0.049413,0.049413,0.037060,0.024707,0.049413,0.061766,0.012353,0.061766,0.086473,0.012353,0.024707,0.086473,0.000342,0.000304,0.000389,0.000374,0.000410,0.000452,0.000399,0.000442,0.000392,0.000439,0.000317,0.000467,0.000332,0.000422,0.000433,0.000448,0.000409,0.000389,0.000420,0.000419,0.000395,0.000378,0.000462,0.000326,0.000372,0.000325,0.000336,0.000387,0.000336,0.000420,0.012618,0.031544,0.012618,0.025235,0.025235,0.006309,0.031544,0.075705,0.025235,0.025235,0.018926,0.012618,0.025235,0.031544,0.006309,0.031544,0.044161,0.006309,0.012618,0.044161,0.018327,0.017641,0.010885,0.017881,0.017266,0.015208,0.015882,0.016309,0.017182,0.016223,0.017804,0.018788,0.015877,0.017785,0.019399,0.016869,0.014444,0.021182,0.018396,0.012303,0.021112,0.017709,0.013952,0.016000,0.016832,0.016121,0.013544,0.016743,0.016741,0.010892,38.3580247,24.4830189,24.7553191
seq7589,0.021589,0.043177,0.050373,0.014392,0.021589,0.000000,0.028785,0.035981,0.000000,0.021589,0.035981,0.057570,0.028785,0.028785,0.014392,0.100747,0.028785,0.000000,0.014392,0.028785,0.014930,0.014611,0.013076,0.013556,0.015022,0.012322,0.013106,0.015619,0.013969,0.013243,0.012177,0.013721,0.012793,0.014758,0.013592,0.013685,0.014760,0.013670,0.014564,0.016678,0.014654,0.014785,0.015118,0.014242,0.011043,0.016113,0.014710,0.013365,0.014208,0.016213,0.037164,0.074328,0.086716,0.024776,0.037164,0.000000,0.049552,0.061940,0.000000,0.037164,0.061940,0.099105,0.049552,0.049552,0.024776,0.173433,0.049552,0.000000,0.024776,0.049552,0.000305,0.000322,0.000264,0.000301,0.000314,0.000274,0.000304,0.000259,0.000289,0.000296,0.000297,0.000321,0.000328,0.000231,0.000308,0.000242,0.000297,0.000299,0.000292,0.000401,0.000342,0.000256,0.000350,0.000236,0.000276,0.000382,0.000300,0.000260,0.000367,0.000240,0.019270,0.038539,0.044962,0.012846,0.019270,0.000000,0.025693,0.032116,0.000000,0.019270,0.032116,0.051386,0.025693,0.025693,0.012846,0.089925,0.025693,0.000000,0.012846,0.025693,0.018284,0.018650,0.013276,0.017224,0.016617,0.013982,0.014645,0.019379,0.015494,0.014662,0.014992,0.015408,0.016243,0.017089,0.014886,0.016179,0.018953,0.015912,0.016083,0.020194,0.014670,0.015988,0.019017,0.016907,0.014537,0.017382,0.017644,0.011965,0.015771,0.014112,44.,23.5320755,24.5744681
seq7590,0.051341,0.014669,0.007334,0.022003,0.014669,0.029338,0.058675,0.051341,0.014669,0.022003,0.051341,0.058675,0.007334,0.022003,0.022003,0.051341,0.029338,0.007334,0.007334,0.044006,0.011787,0.012900,0.015515,0.016225,0.014675,0.013830,0.012371,0.014218,0.015469,0.014185,0.013361,0.010940,0.013755,0.012443,0.015230,0.016037,0.016392,0.013854,0.014049,0.012464,0.014953,0.013945,0.013529,0.012780,0.012476,0.011824,0.013745,0.012060,0.015853,0.012381,0.086820,0.024806,0.012403,0.037208,0.024806,0.049611,0.099223,0.086820,0.024806,0.037208,0.086820,0.099223,0.012403,0.037208,0.037208,0.086820,0.049611,0.012403,0.012403,0.074417,0.000254,0.000293,0.000261,0.000252,0.000252,0.000293,0.000202,0.000225,0.000292,0.000275,0.000259,0.000247,0.000262,0.000301,0.000236,0.000277,0.000306,0.000226,0.000264,0.000248,0.000252,0.000232,0.000233,0.000222,0.000266,0.000250,0.000249,0.000255,0.000301,0.000288,0.044768,0.012791,0.006395,0.019186,0.012791,0.025582,0.051164,0.044768,0.012791,0.019186,0.044768,0.051164,0.006395,0.019186,0.019186,0.044768,0.025582,0.006395,0.006395,0.038373,0.014156,0.015906,0.019197,0.017478,0.016133,0.013371,0.013848,0.019238,0.020585,0.018293,0.017127,0.013500,0.016973,0.014414,0.019967,0.019799,0.018397,0.015642,0.016508,0.014036,0.017904,0.016730,0.015305,0.011540,0.013728,0.013175,0.018298,0.016903,0.017806,0.012408,37.0740741,25.3509434,24.3014184
seq7591,0.071026,0.000000,0.035513,0.021308,0.007103,0.035513,0.014205,0.028410,0.000000,0.035513,0.056821,0.028410,0.014205,0.021308,0.028410,0.049718,0.049718,0.000000,0.014205,0.056821,0.015481,0.014330,0.013647,0.015255,0.013577,0.016739,0.012324,0.013192,0.013477,0.014301,0.015822,0.014374,0.014078,0.014781,0.017109,0.012606,0.013606,0.015301,0.012826,0.015188,0.013474,0.015514,0.014970,0.014071,0.014846,0.013066,0.015790,0.012754,0.013827,0.015465,0.123821,0.000000,0.061910,0.037146,0.012382,0.061910,0.024764,0.049528,0.000000,0.061910,0.099057,0.049528,0.024764,0.037146,0.049528,0.086674,0.086674,0.000000,0.024764,0.099057,0.000344,0.000300,0.000317,0.000331,0.000297,0.000404,0.000277,0.000273,0.000255,0.000331,0.000285,0.000330,0.000319,0.000316,0.000348,0.000295,0.000309,0.000288,0.000320,0.000333,0.000250,0.000380,0.000269,0.000268,0.000321,0.000304,0.000368,0.000258,0.000358,0.000386,0.060711,0.000000,0.030356,0.018213,0.006071,0.030356,0.012142,0.024285,0.000000,0.030356,0.048569,0.024285,0.012142,0.018213,0.024285,0.042498,0.042498,0.000000,0.012142,0.048569,0.017326,0.017730,0.016517,0.020046,0.017100,0.019106,0.013711,0.013850,0.016526,0.017417,0.017219,0.018946,0.016793,0.019616,0.019769,0.014487,0.015771,0.017746,0.015472,0.015781,0.018097,0.019359,0.017099,0.014936,0.017892,0.014836,0.017629,0.020144,0.016369,0.017018,37.7407407,26.1320755,29.3794326
seq7592,0.021124,0.042247,0.042247,0.035206,0.007041,0.042247,0.028165,0.028165,0.021124,0.042247,0.042247,0.028165,0.014082,0.035206,0.014082,0.049288,0.021124,0.000000,0.014082,0.035206,0.014315,0.016347,0.015462,0.014975,0.015905,0.017740,0.012059,0.012605,0.012985,0.014793,0.013447,0.016005,0.016278,0.014420,0.012244,0.014639,0.013413,0.012969,0.015143,0.016169,0.015757,0.013996,0.014269,0.013963,0.011792,0.013662,0.016385,0.015139,0.014570,0.015261,0.037118,0.074235,0.074235,0.061863,0.012373,0.074235,0.049490,0.049490,0.037118,0.074235,0.074235,0.049490,0.024745,0.061863,0.024745,0.086608,0.037118,0.000000,0.024745,0.061863,0.000307,0.000351,0.000323,0.000382,0.000410,0.000357,0.000307,0.000372,0.000325,0.000321,0.000349,0.000316,0.000293,0.000313,0.000353,0.000389,0.000373,0.000386,0.000375,0.000352,0.000359,0.000308,0.000279,0.000255,0.000387,0.000336,0.000338,0.000320,0.000364,0.000295,0.018140,0.036281,0.036281,0.030234,0.006047,0.036281,0.024187,0.024187,0.018140,0.036281,0.036281,0.024187,0.012094,0.030234,0.012094,0.042328,0.018140,0.000000,0.012094,0.030234,0.016278,0.019895,0.018665,0.019239,0.019264,0.021721,0.013973,0.011333,0.013964,0.017612,0.016104,0.019085,0.021188,0.018350,0.013703,0.015882,0.013107,0.015869,0.019349,0.018990,0.020157,0.016660,0.018130,0.014146,0.012625,0.013136,0.017166,0.021340,0.019620,0.019707,42.3580247,25.4603774,24.2234043
seq7593,0.049117,0.021050,0.014033,0.035083,0.014033,0.042100,0.035083,0.056133,0.007017,0.028067,0.056133,0.014033,0.028067,0.014033,0.021050,0.042100,0.028067,0.000000,0.014033,0.042100,0.014811,0.015865,0.013693,0.015680,0.016044,0.015514,0.015201,0.014485,0.013389,0.013802,0.012740,0.013422,0.014287,0.015209,0.014856,0.016382,0.015080,0.014329,0.014698,0.014500,0.013512,0.014035,0.015016,0.011549,0.014430,0.015292,0.014083,0.014741,0.015270,0.016749,0.086630,0.037127,0.024752,0.061879,0.024752,0.074255,0.061879,0.099006,0.012376,0.049503,0.099006,0.024752,0.049503,0.024752,0.037127,0.074255,0.049503,0.000000,0.024752,0.074255,0.000327,0.000360,0.000291,0.000320,0.000346,0.000307,0.000326,0.000357,0.000348,0.000329,0.000359,0.000331,0.000365,0.000290,0.000321,0.000338,0.000279,0.000349,0.000381,0.000261,0.000269,0.000356,0.000281,0.000339,0.000386,0.000344,0.000341,0.000366,0.000361,0.000309,0.044846,0.019220,0.012813,0.032033,0.012813,0.038439,0.032033,0.051252,0.006407,0.025626,0.051252,0.012813,0.025626,0.012813,0.019220,0.038439,0.025626,0.000000,0.012813,0.038439,0.017971,0.015344,0.016020,0.016612,0.016296,0.018518,0.015771,0.015368,0.014772,0.016673,0.014431,0.014947,0.016871,0.019072,0.015854,0.020131,0.016036,0.016822,0.014368,0.017306,0.016511,0.014980,0.017943,0.014244,0.017360,0.017934,0.014490,0.016798,0.012198,0.015837,37.2222222,24.2867925,28.2021277
seq7594,0.040922,0.020461,0.054563,0.000000,0.013641,0.000000,0.027281,0.034102,0.020461,0.034102,0.068204,0.061383,0.013641,0.040922,0.006820,0.027281,0.013641,0.000000,0.040922,0.027281,0.014105,0.015132,0.012786,0.015502,0.014781,0.014587,0.015469,0.014667,0.013301,0.015071,0.015380,0.015013,0.014934,0.013838,0.014294,0.014883,0.014347,0.014789,0.014201,0.015109,0.014250,0.015541,0.016801,0.015273,0.016432,0.016691,0.016510,0.017445,0.017470,0.015769,0.074256,0.037128,0.099009,0.000000,0.024752,0.000000,0.049504,0.061880,0.037128,0.061880,0.123761,0.111385,0.024752,0.074256,0.012376,0.049504,0.024752,0.000000,0.074256,0.049504,0.000309,0.000338,0.000257,0.000305,0.000284,0.000275,0.000313,0.000321,0.000337,0.000317,0.000288,0.000372,0.000342,0.000351,0.000318,0.000375,0.000387,0.000330,0.000333,0.000414,0.000295,0.000296,0.000376,0.000377,0.000295,0.000309,0.000355,0.000303,0.000347,0.000396,0.038433,0.019217,0.051244,0.000000,0.012811,0.000000,0.025622,0.032028,0.019217,0.032028,0.064055,0.057650,0.012811,0.038433,0.006406,0.025622,0.012811,0.000000,0.038433,0.025622,0.016866,0.016225,0.016273,0.015692,0.015666,0.016092,0.016140,0.015464,0.014354,0.016296,0.015180,0.018376,0.015352,0.015617,0.017044,0.014928,0.016582,0.015090,0.016829,0.018044,0.014744,0.017787,0.018743,0.013659,0.016275,0.016247,0.018206,0.018577,0.016722,0.014490,41.5679012,31.0113208,28.5744681
seq7595,0.022332,0.066995,0.052107,0.037219,0.022332,0.007444,0.037219,0.044663,0.014888,0.037219,0.022332,0.007444,0.029775,0.007444,0.022332,0.022332,0.037219,0.014888,0.007444,0.081882,0.013879,0.015047,0.012972,0.011613,0.016169,0.011746,0.014568,0.013980,0.014112,0.012065,0.013132,0.012424,0.013667,0.015016,0.013836,0.010802,0.013655,0.015530,0.012099,0.014467,0.015208,0.013239,0.011085,0.015778,0.012328,0.012992,0.013578,0.013367,0.011998,0.014142,0.037022,0.111067,0.086385,0.061704,0.037022,0.012341,0.061704,0.074044,0.024681,0.061704,0.037022,0.012341,0.049363,0.012341,0.037022,0.037022,0.061704,0.024681,0.012341,0.135748,0.000402,0.000447,0.000362,0.000391,0.000378,0.000505,0.000447,0.000332,0.000486,0.000467,0.000533,0.000425,0.000392,0.000500,0.000386,0.000375,0.000470,0.000395,0.000453,0.000465,0.000462,0.000430,0.000290,0.000468,0.000447,0.000362,0.000410,0.000373,0.000481,0.000406,0.018764,0.056293,0.043783,0.031274,0.018764,0.006255,0.031274,0.037528,0.012509,0.031274,0.018764,0.006255,0.025019,0.006255,0.018764,0.018764,0.031274,0.012509,0.006255,0.068802,0.016277,0.019796,0.015546,0.015261,0.020455,0.013014,0.016563,0.019941,0.017899,0.012736,0.016217,0.014881,0.015817,0.017834,0.018394,0.010312,0.016536,0.018675,0.017135,0.016760,0.021162,0.013727,0.013986,0.019141,0.018500,0.013200,0.019736,0.016664,0.016518,0.016938,39.1975309,25.9169811,23.251773
seq7596,0.110134,0.048184,0.006883,0.020650,0.000000,0.006883,0.000000,0.027534,0.000000,0.034417,0.117018,0.013767,0.013767,0.006883,0.034417,0.020650,0.020650,0.006883,0.013767,0.048184,0.014628,0.014494,0.013800,0.013724,0.013372,0.013694,0.015072,0.014428,0.016404,0.016609,0.014146,0.014949,0.014790,0.016566,0.013894,0.013880,0.015086,0.017139,0.014603,0.016016,0.013113,0.014675,0.015274,0.014833,0.019085,0.012906,0.014919,0.014912,0.015977,0.016340,0.198545,0.086864,0.012409,0.037227,0.000000,0.012409,0.000000,0.049636,0.000000,0.062045,0.210954,0.024818,0.024818,0.012409,0.062045,0.037227,0.037227,0.012409,0.024818,0.086864,0.000272,0.000272,0.000274,0.000237,0.000238,0.000208,0.000271,0.000226,0.000218,0.000273,0.000295,0.000214,0.000202,0.000215,0.000265,0.000276,0.000241,0.000184,0.000209,0.000218,0.000213,0.000230,0.000242,0.000280,0.000243,0.000202,0.000224,0.000291,0.000262,0.000279,0.105905,0.046333,0.006619,0.019857,0.000000,0.006619,0.000000,0.026476,0.000000,0.033095,0.112524,0.013238,0.013238,0.006619,0.033095,0.019857,0.019857,0.006619,0.013238,0.046333,0.015782,0.015620,0.014240,0.015018,0.014991,0.015321,0.015374,0.012096,0.017397,0.017264,0.015704,0.017505,0.012590,0.016664,0.016161,0.015878,0.016592,0.016897,0.013415,0.019221,0.011851,0.016239,0.016184,0.015117,0.017339,0.014197,0.017329,0.017008,0.014858,0.016626,33.2098765,32.1396226,37.7234043
seq7597,0.027815,0.027815,0.006954,0.048677,0.000000,0.048677,0.055631,0.013908,0.006954,0.069538,0.041723,0.006954,0.027815,0.006954,0.034769,0.013908,0.041723,0.000000,0.006954,0.069538,0.016093,0.015197,0.013819,0.015103,0.014830,0.016249,0.013661,0.014803,0.014638,0.014524,0.012530,0.014826,0.012578,0.013336,0.015095,0.014826,0.015117,0.014287,0.014077,0.016985,0.014019,0.013682,0.016206,0.014646,0.014174,0.014986,0.013927,0.016098,0.017322,0.016059,0.049503,0.049503,0.012376,0.086629,0.000000,0.086629,0.099005,0.024751,0.012376,0.123756,0.074254,0.012376,0.049503,0.012376,0.061878,0.024751,0.074254,0.000000,0.012376,0.123756,0.000300,0.000318,0.000368,0.000336,0.000394,0.000367,0.000286,0.000390,0.000352,0.000417,0.000321,0.000415,0.000283,0.000245,0.000264,0.000366,0.000373,0.000297,0.000386,0.000313,0.000339,0.000277,0.000358,0.000328,0.000346,0.000358,0.000316,0.000230,0.000277,0.000330,0.024151,0.024151,0.006038,0.042264,0.000000,0.042264,0.048302,0.012075,0.006038,0.060377,0.036226,0.006038,0.024151,0.006038,0.030189,0.012075,0.036226,0.000000,0.006038,0.060377,0.020446,0.017380,0.017183,0.017134,0.016403,0.018811,0.015961,0.018731,0.015284,0.020324,0.015059,0.018640,0.015424,0.015473,0.018660,0.015296,0.018283,0.014345,0.016192,0.018819,0.015452,0.016962,0.018875,0.019412,0.016162,0.016301,0.015201,0.017807,0.020074,0.016890,33.9382716,29.1056604,27.0531915
seq7598,0.066733,0.022244,0.044489,0.037074,0.022244,0.022244,0.014830,0.037074,0.022244,0.014830,0.066733,0.022244,0.014830,0.000000,0.037074,0.044489,0.051903,0.007415,0.007415,0.037074,0.014317,0.014694,0.013507,0.014755,0.012829,0.013944,0.012855,0.012920,0.012627,0.012245,0.012452,0.015329,0.012508,0.014301,0.013720,0.013780,0.013207,0.011814,0.014431,0.011953,0.013114,0.014318,0.014383,0.013005,0.013865,0.012418,0.014812,0.014190,0.012995,0.015530,0.111512,0.037171,0.074341,0.061951,0.037171,0.037171,0.024780,0.061951,0.037171,0.024780,0.111512,0.037171,0.024780,0.000000,0.061951,0.074341,0.086732,0.012390,0.012390,0.061951,0.000262,0.000318,0.000281,0.000344,0.000279,0.000312,0.000302,0.000242,0.000221,0.000344,0.000316,0.000293,0.000308,0.000271,0.000264,0.000292,0.000282,0.000277,0.000294,0.000247,0.000324,0.000327,0.000313,0.000301,0.000314,0.000255,0.000255,0.000326,0.000248,0.000370,0.059748,0.019916,0.039832,0.033194,0.019916,0.019916,0.013277,0.033194,0.019916,0.013277,0.059748,0.019916,0.013277,0.000000,0.033194,0.039832,0.046471,0.006639,0.006639,0.033194,0.017318,0.016142,0.018459,0.017882,0.013888,0.016022,0.014985,0.016797,0.015470,0.016120,0.014313,0.019332,0.014472,0.018004,0.013357,0.015054,0.017315,0.012538,0.017068,0.012548,0.013142,0.017777,0.016456,0.014233,0.014387,0.013178,0.016049,0.015562,0.015262,0.015770,42.2469136,23.3320755,26.5
seq7599,0.021331,0.021331,0.021331,0.063992,0.007110,0.007110,0.021331,0.042661,0.021331,0.035551,0.028441,0.042661,0.021331,0.042661,0.021331,0.056882,0.014220,0.007110,0.021331,0.049771,0.013564,0.015327,0.015609,0.013541,0.014370,0.016514,0.014919,0.015046,0.012985,0.013051,0.015667,0.015968,0.011289,0.012354,0.014730,0.016783,0.012003,0.011358,0.014008,0.013650,0.015016,0.014161,0.016416,0.016732,0.017277,0.013647,0.013027,0.013695,0.013706,0.014771,0.037053,0.037053,0.037053,0.111158,0.012351,0.012351,0.037053,0.074106,0.037053,0.061755,0.049404,0.074106,0.037053,0.074106,0.037053,0.098808,0.024702,0.012351,0.037053,0.086457,0.000404,0.000400,0.000471,0.000342,0.000375,0.000442,0.000444,0.000308,0.000361,0.000429,0.000458,0.000391,0.000412,0.000398,0.000402,0.000388,0.000411,0.000419,0.000448,0.000323,0.000390,0.000363,0.000344,0.000423,0.000437,0.000412,0.000384,0.000349,0.000423,0.000370,0.018263,0.018263,0.018263,0.054788,0.006088,0.006088,0.018263,0.036525,0.018263,0.030438,0.024350,0.036525,0.018263,0.036525,0.018263,0.048700,0.012175,0.006088,0.018263,0.042613,0.016212,0.016964,0.017044,0.019395,0.017993,0.020675,0.016647,0.018161,0.015424,0.014483,0.016650,0.017794,0.014851,0.016310,0.018105,0.021150,0.014282,0.014570,0.017528,0.015947,0.018653,0.018068,0.020780,0.019794,0.021560,0.013676,0.015321,0.015499,0.013421,0.016041,43.4074074,28.8075472,23.9822695
seq7600,0.046871,0.033479,0.013392,0.026784,0.006696,0.026784,0.046871,0.060263,0.000000,0.026784,0.060263,0.000000,0.033479,0.026784,0.013392,0.053567,0.020088,0.006696,0.006696,0.026784,0.014580,0.015492,0.014486,0.012833,0.016571,0.015437,0.014679,0.015941,0.016521,0.017712,0.017660,0.015258,0.012829,0.018257,0.017124,0.011952,0.012991,0.015704,0.015898,0.014957,0.014723,0.016357,0.015178,0.016330,0.014396,0.017360,0.016267,0.016246,0.013748,0.016839,0.086739,0.061957,0.024783,0.049565,0.012391,0.049565,0.086739,0.111522,0.000000,0.049565,0.111522,0.000000,0.061957,0.049565,0.024783,0.099130,0.037174,0.012391,0.012391,0.049565,0.000348,0.000350,0.000355,0.000230,0.000299,0.000313,0.000298,0.000295,0.000255,0.000327,0.000276,0.000329,0.000254,0.000306,0.000265,0.000291,0.000249,0.000289,0.000266,0.000311,0.000217,0.000294,0.000294,0.000276,0.000253,0.000282,0.000314,0.000302,0.000297,0.000263,0.043476,0.031055,0.012422,0.024844,0.006211,0.024844,0.043476,0.055898,0.000000,0.024844,0.055898,0.000000,0.031055,0.024844,0.012422,0.049687,0.018633,0.006211,0.006211,0.024844,0.016732,0.014856,0.015497,0.014712,0.017265,0.015108,0.014683,0.017216,0.019322,0.019047,0.019643,0.016437,0.014387,0.019425,0.019087,0.014043,0.017635,0.016700,0.014961,0.016753,0.018231,0.018681,0.017032,0.018079,0.014651,0.018586,0.016863,0.016183,0.013162,0.018151,37.5061728,24.5698113,30.6914894
seq7601,0.029518,0.014759,0.088553,0.022138,0.000000,0.022138,0.014759,0.022138,0.014759,0.022138,0.036897,0.036897,0.007379,0.029518,0.007379,0.081174,0.073794,0.000000,0.036897,0.029518,0.011901,0.015098,0.014167,0.012714,0.016251,0.015491,0.013172,0.013453,0.012707,0.012617,0.013743,0.014863,0.012963,0.011682,0.014364,0.015421,0.012388,0.013454,0.013080,0.013748,0.013038,0.013402,0.009713,0.013129,0.014811,0.012982,0.012768,0.015165,0.017792,0.013566,0.049546,0.024773,0.148637,0.037159,0.000000,0.037159,0.024773,0.037159,0.024773,0.037159,0.061932,0.061932,0.012386,0.049546,0.012386,0.136250,0.123864,0.000000,0.061932,0.049546,0.000349,0.000381,0.000254,0.000246,0.000285,0.000336,0.000294,0.000304,0.000311,0.000245,0.000336,0.000351,0.000253,0.000279,0.000298,0.000311,0.000286,0.000329,0.000278,0.000286,0.000328,0.000314,0.000259,0.000266,0.000358,0.000292,0.000320,0.000327,0.000235,0.000377,0.024503,0.012252,0.073510,0.018377,0.000000,0.018377,0.012252,0.018377,0.012252,0.018377,0.030629,0.030629,0.006126,0.024503,0.006126,0.067384,0.061258,0.000000,0.030629,0.024503,0.015588,0.016935,0.017803,0.017429,0.021311,0.020690,0.016642,0.016746,0.015749,0.015428,0.015121,0.017210,0.020591,0.015013,0.017428,0.017392,0.014632,0.014531,0.013751,0.016262,0.017100,0.019061,0.013421,0.016036,0.016688,0.015869,0.016484,0.018224,0.022167,0.018635,47.1604938,20.7962264,22.0744681
